#    [ 1325 :  3 :   5 ]    13 -  27
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP           102  lin-lin  interpolation
# Energy        CrossSection
  1.000000e-05  0.000000e+00
  2.530000e-02  0.000000e+00
  1.999000e+06  0.000000e+00
  2.000000e+06  1.303120e-05
  3.000000e+06  3.715030e-05
  4.000000e+06  8.842480e-05
  5.000000e+06  7.775500e-05
  6.000000e+06  1.200100e-04
  7.000000e+06  1.807200e-04
  8.000000e+06  2.696000e-04
  9.000000e+06  4.023900e-04
  1.000000e+07  6.050680e-04
  1.100000e+07  9.220400e-04
  1.200000e+07  1.432290e-03
  1.250000e+07  1.801570e-03
  1.300000e+07  2.282470e-03
  1.350000e+07  2.919430e-03
  1.400000e+07  3.755540e-03
  1.450000e+07  4.975050e-03
  1.500000e+07  6.395690e-03
  1.600000e+07  1.109020e-02
  1.700000e+07  1.823330e-02
  1.800000e+07  2.598140e-02
  1.850000e+07  2.908930e-02
  1.900000e+07  3.187940e-02
  1.950000e+07  3.428390e-02
  2.000000e+07  3.650040e-02
  2.050000e+07  3.852200e-02
  2.100000e+07  3.950000e-02
  2.150000e+07  3.962910e-02
  2.200000e+07  3.862910e-02
  2.250000e+07  3.627400e-02
  2.300000e+07  3.269710e-02
  2.350000e+07  3.024220e-02
  2.400000e+07  2.802880e-02
  2.450000e+07  2.593580e-02
  2.500000e+07  2.459000e-02
  2.550000e+07  2.296820e-02
  2.600000e+07  2.161070e-02
  2.650000e+07  2.049250e-02
  2.700000e+07  1.940000e-02
  2.750000e+07  1.855110e-02
  2.800000e+07  1.787930e-02
  2.850000e+07  1.720750e-02
  2.900000e+07  1.662140e-02
  3.000000e+07  1.544710e-02
  3.100000e+07  1.407290e-02
  3.200000e+07  1.288010e-02
  3.300000e+07  1.174930e-02
  3.400000e+07  1.069450e-02
  3.500000e+07  9.804710e-03
  3.600000e+07  9.055180e-03
  3.700000e+07  8.421940e-03
  3.800000e+07  7.883790e-03
  3.900000e+07  7.422720e-03
  4.000000e+07  7.024640e-03
  4.050000e+07  6.832050e-03
  4.100000e+07  6.639460e-03
  4.150000e+07  6.446870e-03
  4.200000e+07  6.254280e-03
  4.300000e+07  5.889120e-03
  4.400000e+07  5.591600e-03
  4.500000e+07  5.269740e-03
  4.600000e+07  4.988270e-03
  4.700000e+07  4.741980e-03
  4.800000e+07  4.526080e-03
  4.900000e+07  4.336280e-03
  5.000000e+07  4.168850e-03
  5.100000e+07  4.020610e-03
  5.200000e+07  3.895900e-03
  5.300000e+07  3.771200e-03
  5.350000e+07  3.721100e-03
  5.400000e+07  3.671010e-03
  5.500000e+07  3.570820e-03
  5.550000e+07  3.529880e-03
  5.600000e+07  3.488940e-03
  5.650000e+07  3.447990e-03
  5.700000e+07  3.407050e-03
  5.750000e+07  3.373010e-03
  5.800000e+07  3.338980e-03
  5.900000e+07  3.270910e-03
  5.950000e+07  3.242140e-03
  6.000000e+07  3.213370e-03
  6.050000e+07  3.184590e-03
  6.100000e+07  3.155820e-03
  6.200000e+07  3.106360e-03
  6.300000e+07  3.056900e-03
  6.400000e+07  3.013710e-03
  6.600000e+07  2.932220e-03
  6.800000e+07  2.859480e-03
  7.000000e+07  2.793600e-03
  7.200000e+07  2.733150e-03
  7.400000e+07  2.677030e-03
  7.600000e+07  2.624350e-03
  7.800000e+07  2.574420e-03
  8.000000e+07  2.526730e-03
  9.000000e+07  2.311800e-03
  1.000000e+08  2.113840e-03
  1.300000e+08  1.615770e-03
  1.500000e+08  1.357330e-03
  1.800000e+08  1.049500e-03
  2.000000e+08  9.026280e-04


