#    [ 1625 :  3 :   5 ]    16 -  32
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            70  lin-lin  interpolation
# Energy        CrossSection
  6.948400e+06  0.000000e+00
  9.500000e+06  1.485366e-05
  1.000000e+07  8.337132e-04
  1.100000e+07  1.502729e-03
  1.200000e+07  2.250637e-03
  1.300000e+07  3.414635e-03
  1.400000e+07  5.290930e-03
  1.500000e+07  8.392819e-03
  1.600000e+07  1.358083e-02
  1.700000e+07  2.199046e-02
  1.800000e+07  3.378363e-02
  1.850000e+07  3.986962e-02
  1.900000e+07  4.474926e-02
  1.950000e+07  4.741289e-02
  2.000000e+07  4.749688e-02
  2.050000e+07  4.543764e-02
  2.100000e+07  4.209908e-02
  2.150000e+07  3.830028e-02
  2.200000e+07  3.459358e-02
  2.300000e+07  2.842623e-02
  2.400000e+07  2.420090e-02
  2.500000e+07  2.151656e-02
  2.600000e+07  1.962463e-02
  2.700000e+07  1.779163e-02
  2.800000e+07  1.583681e-02
  2.900000e+07  1.398832e-02
  3.000000e+07  1.241733e-02
  3.100000e+07  1.114102e-02
  3.200000e+07  1.011150e-02
  3.300000e+07  9.274038e-03
  3.400000e+07  8.583387e-03
  3.500000e+07  8.004871e-03
  3.600000e+07  7.513210e-03
  3.700000e+07  7.089516e-03
  3.800000e+07  6.720197e-03
  3.900000e+07  6.394660e-03
  4.000000e+07  6.105011e-03
  4.200000e+07  5.609883e-03
  4.400000e+07  5.199632e-03
  4.600000e+07  4.851467e-03
  4.800000e+07  4.550192e-03
  5.000000e+07  4.285410e-03
  5.200000e+07  4.053026e-03
  5.400000e+07  3.837337e-03
  5.600000e+07  3.634046e-03
  5.800000e+07  3.468253e-03
  6.000000e+07  3.355159e-03
  6.200000e+07  3.280263e-03
  6.400000e+07  3.221467e-03
  6.600000e+07  3.167070e-03
  6.800000e+07  3.116173e-03
  7.000000e+07  3.067775e-03
  7.200000e+07  3.021477e-03
  7.400000e+07  2.976579e-03
  7.600000e+07  2.932780e-03
  7.800000e+07  2.889882e-03
  8.000000e+07  2.847483e-03
  8.200000e+07  2.805384e-03
  8.400000e+07  2.763685e-03
  8.600000e+07  2.722086e-03
  8.800000e+07  2.680587e-03
  9.000000e+07  2.639288e-03
  9.500000e+07  2.536190e-03
  1.000000e+08  2.433692e-03
  1.050000e+08  2.332493e-03
  1.100000e+08  2.233493e-03
  1.150000e+08  2.137394e-03
  1.200000e+08  2.045595e-03
  1.300000e+08  1.878796e-03
  1.400000e+08  1.742097e-03


