#    [ 3037 :  3 :   5 ]    30 -  68
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            90  lin-lin  interpolation
# Energy        CrossSection
  1.000000e+06  6.978314e-06
  1.500000e+06  1.882287e-05
  2.000000e+06  3.934830e-05
  2.500000e+06  7.133354e-05
  3.000000e+06  1.180756e-04
  3.500000e+06  1.835745e-04
  4.000000e+06  2.727847e-04
  4.500000e+06  3.919719e-04
  5.000000e+06  5.492286e-04
  5.250000e+06  6.453389e-04
  5.500000e+06  7.552196e-04
  5.750000e+06  8.807789e-04
  6.000000e+06  1.024239e-03
  6.500000e+06  1.375664e-03
  7.000000e+06  1.835801e-03
  7.500000e+06  2.439681e-03
  8.000000e+06  3.230748e-03
  8.500000e+06  4.252526e-03
  9.000000e+06  5.522699e-03
  9.500000e+06  6.999075e-03
  1.000000e+07  8.616148e-03
  1.050000e+07  1.045150e-02
  1.100000e+07  1.282876e-02
  1.150000e+07  1.613065e-02
  1.200000e+07  2.023320e-02
  1.250000e+07  2.502099e-02
  1.300000e+07  3.169694e-02
  1.350000e+07  4.133648e-02
  1.400000e+07  5.461494e-02
  1.450000e+07  7.157800e-02
  1.500000e+07  9.042505e-02
  1.550000e+07  1.065975e-01
  1.600000e+07  1.152613e-01
  1.650000e+07  1.163223e-01
  1.700000e+07  1.144205e-01
  1.750000e+07  1.140715e-01
  1.800000e+07  1.167942e-01
  1.850000e+07  1.210033e-01
  1.900000e+07  1.231161e-01
  1.950000e+07  1.199333e-01
  2.000000e+07  1.110585e-01
  2.100000e+07  8.558535e-02
  2.200000e+07  6.314430e-02
  2.300000e+07  4.745647e-02
  2.400000e+07  3.689121e-02
  2.500000e+07  2.962743e-02
  2.600000e+07  2.446175e-02
  2.700000e+07  2.066373e-02
  2.800000e+07  1.778874e-02
  2.900000e+07  1.555871e-02
  3.000000e+07  1.379391e-02
  3.200000e+07  1.121716e-02
  3.400000e+07  9.471919e-03
  3.600000e+07  8.252386e-03
  3.800000e+07  7.383630e-03
  4.000000e+07  6.757803e-03
  4.200000e+07  6.304423e-03
  4.400000e+07  5.975361e-03
  4.600000e+07  5.736687e-03
  4.800000e+07  5.563944e-03
  5.000000e+07  5.439229e-03
  5.200000e+07  5.349297e-03
  5.400000e+07  5.284289e-03
  5.600000e+07  5.236829e-03
  5.800000e+07  5.201392e-03
  6.000000e+07  5.173832e-03
  6.200000e+07  5.151048e-03
  6.400000e+07  5.130727e-03
  6.600000e+07  5.111152e-03
  6.800000e+07  5.091066e-03
  7.000000e+07  5.069559e-03
  7.200000e+07  5.045992e-03
  7.400000e+07  5.019930e-03
  7.600000e+07  4.991096e-03
  7.800000e+07  4.959337e-03
  8.000000e+07  4.924595e-03
  8.500000e+07  4.824908e-03
  9.000000e+07  4.708306e-03
  9.500000e+07  4.577461e-03
  1.000000e+08  4.435617e-03
  1.100000e+08  4.132882e-03
  1.200000e+08  3.827969e-03
  1.300000e+08  3.547393e-03
  1.400000e+08  3.315620e-03
  1.500000e+08  3.027829e-03
  1.600000e+08  2.779307e-03
  1.700000e+08  2.562940e-03
  1.800000e+08  2.373194e-03
  1.900000e+08  2.205704e-03
  2.000000e+08  2.056985e-03


