#    [ 4025 :  3 :   5 ]    40 -  90
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP           102  lin-lin  interpolation
  1.000000e-05  0.000000e+00
  2.530000e-02  0.000000e+00
  1.999000e+06  0.000000e+00
  2.000000e+06  1.998440e-05
  3.000000e+06  7.812690e-05
  4.000000e+06  1.947170e-04
  5.000000e+06  4.064970e-04
  6.000000e+06  7.651100e-04
  6.680000e+06  1.130000e-03
  7.000000e+06  1.350000e-03
  7.500000e+06  1.770000e-03
  8.000000e+06  2.300000e-03
  8.360000e+06  2.770000e-03
  9.000000e+06  3.840000e-03
  9.500000e+06  4.930000e-03
  1.000000e+07  6.340000e-03
  1.050000e+07  8.160000e-03
  1.100000e+07  1.052000e-02
  1.150000e+07  1.364000e-02
  1.197000e+07  1.751000e-02
  1.250000e+07  2.341000e-02
  1.300000e+07  3.111000e-02
  1.350000e+07  4.183000e-02
  1.400000e+07  5.694430e-02
  1.450000e+07  7.812000e-02
  1.500000e+07  1.073600e-01
  1.543000e+07  1.391400e-01
  1.560000e+07  1.527680e-01
  1.570000e+07  1.607760e-01
  1.580000e+07  1.687840e-01
  1.590000e+07  1.767920e-01
  1.600000e+07  1.848000e-01
  1.610000e+07  1.920100e-01
  1.620000e+07  1.986500e-01
  1.630000e+07  2.045800e-01
  1.640000e+07  2.096700e-01
  1.650000e+07  2.138400e-01
  1.660000e+07  2.170100e-01
  1.670000e+07  2.191400e-01
  1.680000e+07  2.202100e-01
  1.690000e+07  2.202500e-01
  1.700000e+07  2.193000e-01
  1.710000e+07  2.174300e-01
  1.720000e+07  2.147200e-01
  1.730000e+07  2.112900e-01
  1.740000e+07  2.072200e-01
  1.750000e+07  2.026300e-01
  1.760000e+07  1.976030e-01
  1.770000e+07  1.922700e-01
  1.780000e+07  1.867000e-01
  1.790000e+07  1.809700e-01
  1.800000e+07  1.751600e-01
  1.810000e+07  1.693360e-01
  1.820000e+07  1.635720e-01
  1.850000e+07  1.466900e-01
  1.883000e+07  1.297600e-01
  1.900000e+07  1.218500e-01
  1.950000e+07  1.017200e-01
  1.984000e+07  9.053000e-02
  2.000000e+07  8.587000e-02
  2.050000e+07  7.339000e-02
  2.071000e+07  6.898000e-02
  2.100000e+07  6.357000e-02
  2.129000e+07  5.883000e-02
  2.150000e+07  5.577000e-02
  2.200000e+07  4.950000e-02
  2.250000e+07  4.440000e-02
  2.300000e+07  4.021000e-02
  2.350000e+07  3.672000e-02
  2.400000e+07  3.380000e-02
  2.450000e+07  3.132000e-02
  2.500000e+07  2.919000e-02
  2.550000e+07  2.737000e-02
  2.600000e+07  2.578000e-02
  2.650000e+07  2.440000e-02
  2.700000e+07  2.318000e-02
  2.750000e+07  2.211000e-02
  2.800000e+07  2.116000e-02
  2.850000e+07  2.031000e-02
  2.900000e+07  1.955000e-02
  2.950000e+07  1.887000e-02
  3.000000e+07  1.825000e-02
  3.200000e+07  1.570000e-02
  3.364000e+07  1.420520e-02
  3.500000e+07  1.322000e-02
  3.850000e+07  1.150000e-02
  4.000000e+07  1.098000e-02
  4.250000e+07  1.033000e-02
  4.500000e+07  9.840000e-03
  4.750000e+07  9.520000e-03
  5.000000e+07  9.200000e-03
  5.500000e+07  8.840000e-03
  6.000000e+07  8.480000e-03
  7.000000e+07  8.010000e-03
  8.000000e+07  7.550000e-03
  9.000000e+07  7.060000e-03
  1.000000e+08  6.550000e-03
  1.200000e+08  5.550000e-03
  1.400000e+08  4.740000e-03
  1.600000e+08  3.950000e-03
  1.800000e+08  3.360000e-03
  2.000000e+08  2.900000e-03


