#    [ 4231 :  3 :   5 ]    42 -  94
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            88  lin-lin  interpolation
  1.000000e+06  1.023797e-05
  1.500000e+06  2.861582e-05
  2.000000e+06  6.135672e-05
  2.500000e+06  1.133720e-04
  3.000000e+06  1.904827e-04
  3.500000e+06  2.997568e-04
  4.000000e+06  4.499694e-04
  4.500000e+06  6.522504e-04
  5.000000e+06  9.210040e-04
  5.500000e+06  1.275183e-03
  6.000000e+06  1.739891e-03
  6.500000e+06  2.347897e-03
  7.000000e+06  3.139317e-03
  7.500000e+06  4.154639e-03
  8.000000e+06  5.413814e-03
  8.500000e+06  6.890553e-03
  9.000000e+06  8.542337e-03
  9.500000e+06  1.042572e-02
  1.000000e+07  1.274651e-02
  1.050000e+07  1.578055e-02
  1.100000e+07  1.982254e-02
  1.150000e+07  2.521197e-02
  1.200000e+07  3.237827e-02
  1.250000e+07  4.187200e-02
  1.300000e+07  5.436953e-02
  1.350000e+07  7.062604e-02
  1.400000e+07  9.128669e-02
  1.450000e+07  1.163372e-01
  1.500000e+07  1.440216e-01
  1.550000e+07  1.697880e-01
  1.600000e+07  1.870649e-01
  1.650000e+07  1.909981e-01
  1.700000e+07  1.820005e-01
  1.750000e+07  1.648234e-01
  1.800000e+07  1.447806e-01
  1.850000e+07  1.253894e-01
  1.900000e+07  1.082391e-01
  1.950000e+07  9.371672e-02
  2.000000e+07  8.165265e-02
  2.100000e+07  6.329865e-02
  2.200000e+07  5.059107e-02
  2.300000e+07  4.153642e-02
  2.400000e+07  3.487807e-02
  2.500000e+07  2.983706e-02
  2.600000e+07  2.592254e-02
  2.700000e+07  2.281698e-02
  2.800000e+07  2.030910e-02
  2.900000e+07  1.825433e-02
  3.000000e+07  1.655111e-02
  3.200000e+07  1.392576e-02
  3.400000e+07  1.204403e-02
  3.600000e+07  1.067640e-02
  3.800000e+07  9.676425e-03
  4.000000e+07  8.944612e-03
  4.200000e+07  8.410390e-03
  4.400000e+07  8.022277e-03
  4.600000e+07  7.742117e-03
  4.800000e+07  7.541382e-03
  5.000000e+07  7.398653e-03
  5.200000e+07  7.297821e-03
  5.400000e+07  7.226758e-03
  5.600000e+07  7.176344e-03
  5.800000e+07  7.139722e-03
  6.000000e+07  7.111756e-03
  6.200000e+07  7.088605e-03
  6.400000e+07  7.067420e-03
  6.600000e+07  7.046104e-03
  6.800000e+07  7.023131e-03
  7.000000e+07  6.997416e-03
  7.200000e+07  6.968211e-03
  7.400000e+07  6.935026e-03
  7.600000e+07  6.897568e-03
  7.800000e+07  6.855697e-03
  8.000000e+07  6.809391e-03
  8.500000e+07  6.674830e-03
  9.000000e+07  6.515783e-03
  9.500000e+07  6.336301e-03
  1.000000e+08  6.141096e-03
  1.100000e+08  5.723381e-03
  1.200000e+08  5.301934e-03
  1.300000e+08  4.913821e-03
  1.400000e+08  4.593110e-03
  1.500000e+08  4.194622e-03
  1.600000e+08  3.850461e-03
  1.700000e+08  3.550801e-03
  1.800000e+08  3.287991e-03
  1.900000e+08  3.055994e-03
  2.000000e+08  2.849987e-03


