#    [ 5043 :  3 :   5 ]    50 - 118
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP           102  lin-lin  interpolation
  1.000000e-05  0.000000e+00
  2.530000e-02  0.000000e+00
  1.999000e+06  0.000000e+00
  2.000000e+06  6.289470e-05
  2.450000e+06  1.189440e-04
  2.900000e+06  2.021310e-04
  3.350000e+06  3.193950e-04
  3.800000e+06  4.789020e-04
  4.250000e+06  6.903890e-04
  4.700000e+06  9.655980e-04
  5.150000e+06  1.318830e-03
  5.600000e+06  1.767660e-03
  6.050000e+06  2.333790e-03
  6.500000e+06  3.044170e-03
  6.950000e+06  3.962000e-03
  7.400000e+06  5.117000e-03
  7.850000e+06  6.570330e-03
  8.300000e+06  8.400880e-03
  8.750000e+06  1.071100e-02
  9.200000e+06  1.363410e-02
  9.650000e+06  1.734500e-02
  1.010000e+07  2.207290e-02
  1.055000e+07  2.811780e-02
  1.100000e+07  3.587110e-02
  1.145000e+07  4.622430e-02
  1.190000e+07  5.966770e-02
  1.235000e+07  7.700120e-02
  1.280000e+07  9.897220e-02
  1.325000e+07  1.259540e-01
  1.370000e+07  1.574670e-01
  1.415000e+07  1.917580e-01
  1.460000e+07  2.255430e-01
  1.505000e+07  2.535630e-01
  1.550000e+07  2.666860e-01
  1.595000e+07  2.527420e-01
  1.640000e+07  2.264570e-01
  1.685000e+07  1.986000e-01
  1.730000e+07  1.732240e-01
  1.775000e+07  1.513520e-01
  1.820000e+07  1.329020e-01
  1.865000e+07  1.174780e-01
  1.910000e+07  1.046180e-01
  1.955000e+07  9.387960e-02
  2.000000e+07  8.487840e-02
  2.045000e+07  7.734090e-02
  2.090000e+07  7.090750e-02
  2.135000e+07  6.538520e-02
  2.180000e+07  6.061790e-02
  2.225000e+07  5.647910e-02
  2.270000e+07  5.286600e-02
  2.315000e+07  4.969520e-02
  2.360000e+07  4.689850e-02
  2.405000e+07  4.442010e-02
  2.450000e+07  4.221370e-02
  2.495000e+07  4.026560e-02
  2.540000e+07  3.851260e-02
  2.585000e+07  3.692980e-02
  2.630000e+07  3.549610e-02
  2.675000e+07  3.419370e-02
  2.720000e+07  3.300710e-02
  2.765000e+07  3.192300e-02
  2.810000e+07  3.093020e-02
  2.855000e+07  3.001860e-02
  2.900000e+07  2.917970e-02
  2.945000e+07  2.841320e-02
  2.990000e+07  2.770370e-02
  3.035000e+07  2.688390e-02
  3.080000e+07  2.607290e-02
  3.125000e+07  2.531540e-02
  3.170000e+07  2.460690e-02
  3.215000e+07  2.394380e-02
  3.260000e+07  2.332260e-02
  3.305000e+07  2.273990e-02
  3.350000e+07  2.219290e-02
  3.395000e+07  2.168270e-02
  3.440000e+07  2.120250e-02
  3.485000e+07  2.075020e-02
  3.530000e+07  2.032380e-02
  3.575000e+07  1.992150e-02
  3.620000e+07  1.954160e-02
  3.665000e+07  1.918260e-02
  3.710000e+07  1.884310e-02
  3.755000e+07  1.852180e-02
  3.800000e+07  1.821750e-02
  3.845000e+07  1.793090e-02
  3.890000e+07  1.765890e-02
  3.935000e+07  1.740050e-02
  3.980000e+07  1.715500e-02
  4.025000e+07  1.692140e-02
  4.070000e+07  1.669920e-02
  4.115000e+07  1.648760e-02
  4.160000e+07  1.628590e-02
  4.205000e+07  1.609350e-02
  4.250000e+07  1.591000e-02
  4.500000e+07  1.503160e-02
  5.000000e+07  1.377920e-02
  7.000000e+07  1.133620e-02
  1.000000e+08  8.963460e-03
  1.300000e+08  6.897890e-03
  1.500000e+08  5.807650e-03
  1.800000e+08  4.497480e-03
  2.000000e+08  3.872670e-03


