#    [ 6255 :  3 :   5 ]    62 - 154
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            88  lin-lin  interpolation
# Energy        CrossSection
  1.000000e+06  3.084269e-05
  1.500000e+06  8.848765e-05
  2.000000e+06  1.941239e-04
  2.500000e+06  3.668379e-04
  3.000000e+06  6.310837e-04
  3.500000e+06  1.019200e-03
  4.000000e+06  1.575104e-03
  4.500000e+06  2.359690e-03
  5.000000e+06  3.458379e-03
  5.500000e+06  4.990064e-03
  6.000000e+06  7.112777e-03
  6.500000e+06  1.001397e-02
  7.000000e+06  1.387459e-02
  7.500000e+06  1.881940e-02
  8.000000e+06  2.484383e-02
  8.500000e+06  3.192413e-02
  9.000000e+06  4.090684e-02
  9.500000e+06  5.390520e-02
  1.000000e+07  7.358942e-02
  1.050000e+07  1.028371e-01
  1.100000e+07  1.435965e-01
  1.150000e+07  1.925260e-01
  1.200000e+07  2.351072e-01
  1.250000e+07  2.528363e-01
  1.300000e+07  2.454249e-01
  1.350000e+07  2.300618e-01
  1.400000e+07  2.212057e-01
  1.450000e+07  2.237929e-01
  1.500000e+07  2.354941e-01
  1.550000e+07  2.483383e-01
  1.600000e+07  2.518735e-01
  1.650000e+07  2.403903e-01
  1.700000e+07  2.169792e-01
  1.750000e+07  1.889645e-01
  1.800000e+07  1.620087e-01
  1.850000e+07  1.386266e-01
  1.900000e+07  1.192746e-01
  1.950000e+07  1.035359e-01
  2.000000e+07  9.076610e-02
  2.100000e+07  7.154209e-02
  2.200000e+07  5.824544e-02
  2.300000e+07  4.867660e-02
  2.400000e+07  4.154256e-02
  2.500000e+07  3.606473e-02
  2.600000e+07  3.175694e-02
  2.700000e+07  2.830400e-02
  2.800000e+07  2.549416e-02
  2.900000e+07  2.318044e-02
  3.000000e+07  2.125770e-02
  3.200000e+07  1.829521e-02
  3.400000e+07  1.618517e-02
  3.600000e+07  1.466976e-02
  3.800000e+07  1.358013e-02
  4.000000e+07  1.280000e-02
  4.200000e+07  1.224641e-02
  4.400000e+07  1.185877e-02
  4.600000e+07  1.159225e-02
  4.800000e+07  1.141338e-02
  5.000000e+07  1.129708e-02
  5.200000e+07  1.122454e-02
  5.400000e+07  1.118161e-02
  5.600000e+07  1.115772e-02
  5.800000e+07  1.114497e-02
  6.000000e+07  1.113747e-02
  6.200000e+07  1.113088e-02
  6.400000e+07  1.112205e-02
  6.600000e+07  1.110869e-02
  6.800000e+07  1.108923e-02
  7.000000e+07  1.106258e-02
  7.200000e+07  1.102808e-02
  7.400000e+07  1.098536e-02
  7.600000e+07  1.093428e-02
  7.800000e+07  1.087489e-02
  8.000000e+07  1.080738e-02
  8.500000e+07  1.060505e-02
  9.000000e+07  1.036004e-02
  9.500000e+07  1.008003e-02
  1.000000e+08  9.773304e-03
  1.100000e+08  9.113223e-03
  1.200000e+08  8.444784e-03
  1.300000e+08  7.828178e-03
  1.400000e+08  7.318279e-03
  1.500000e+08  6.683941e-03
  1.600000e+08  6.135931e-03
  1.700000e+08  5.658681e-03
  1.800000e+08  5.240056e-03
  1.900000e+08  4.870469e-03
  2.000000e+08  4.542256e-03


