#    [ 9434 :  3 :   5 ]    94 - 238
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            90  lin-lin  interpolation
# Energy        CrossSection
  1.000000e+06  6.474464e-05
  1.500000e+06  1.839408e-04
  2.000000e+06  4.019580e-04
  2.500000e+06  7.595536e-04
  3.000000e+06  1.310299e-03
  3.500000e+06  2.126326e-03
  4.000000e+06  3.305558e-03
  4.500000e+06  4.977866e-03
  5.000000e+06  7.250988e-03
  5.250000e+06  8.340107e-03
  5.500000e+06  7.877096e-03
  5.750000e+06  4.465656e-03
  6.000000e+06  3.269290e-03
  6.500000e+06  1.584790e-03
  7.000000e+06  8.213700e-04
  7.500000e+06  8.567820e-03
  8.000000e+06  1.340579e-02
  8.500000e+06  2.131524e-02
  9.000000e+06  3.055900e-02
  9.500000e+06  4.224630e-02
  1.000000e+07  6.032950e-02
  1.050000e+07  8.846270e-02
  1.100000e+07  1.231044e-01
  1.150000e+07  1.505295e-01
  1.200000e+07  1.621101e-01
  1.250000e+07  1.674962e-01
  1.300000e+07  1.770333e-01
  1.350000e+07  1.651064e-01
  1.400000e+07  1.490035e-01
  1.450000e+07  1.322781e-01
  1.500000e+07  1.164559e-01
  1.550000e+07  1.023578e-01
  1.600000e+07  8.662960e-02
  1.650000e+07  6.935130e-02
  1.700000e+07  6.022440e-02
  1.750000e+07  4.272590e-02
  1.800000e+07  3.346600e-02
  1.850000e+07  2.460920e-02
  1.900000e+07  1.995115e-02
  1.950000e+07  1.437633e-02
  2.000000e+07  1.044083e-02
  2.100000e+07  7.289530e-03
  2.200000e+07  5.460430e-03
  2.300000e+07  4.356890e-03
  2.400000e+07  3.543590e-03
  2.500000e+07  3.051970e-03
  2.600000e+07  2.652700e-03
  2.700000e+07  2.325230e-03
  2.800000e+07  2.137730e-03
  2.900000e+07  1.906950e-03
  3.000000e+07  1.783440e-03
  3.200000e+07  1.648550e-03
  3.400000e+07  1.499210e-03
  3.600000e+07  1.352990e-03
  3.800000e+07  1.284670e-03
  4.000000e+07  1.214070e-03
  4.200000e+07  1.151870e-03
  4.400000e+07  1.164150e-03
  4.600000e+07  1.141010e-03
  4.800000e+07  1.124290e-03
  5.000000e+07  1.090030e-03
  5.200000e+07  1.081350e-03
  5.400000e+07  1.040480e-03
  5.600000e+07  1.050840e-03
  5.800000e+07  1.036050e-03
  6.000000e+07  1.030280e-03
  6.200000e+07  1.007150e-03
  6.400000e+07  9.924400e-04
  6.600000e+07  9.768600e-04
  6.800000e+07  9.520400e-04
  7.000000e+07  9.386700e-04
  7.200000e+07  9.001700e-04
  7.400000e+07  9.005400e-04
  7.600000e+07  8.742100e-04
  7.800000e+07  8.577100e-04
  8.000000e+07  8.643400e-04
  8.500000e+07  7.986200e-04
  9.000000e+07  7.572400e-04
  9.500000e+07  6.983500e-04
  1.000000e+08  6.520100e-04
  1.100000e+08  5.693300e-04
  1.200000e+08  5.025300e-04
  1.300000e+08  4.222500e-04
  1.400000e+08  3.724800e-04
  1.500000e+08  3.298420e-04
  1.600000e+08  3.073970e-04
  1.700000e+08  2.935390e-04
  1.800000e+08  3.075180e-04
  1.900000e+08  2.946090e-04
  2.000000e+08  3.043460e-04


