#    [ 2434 :  6 :   5 ]    24 -  53
# Energy and angle distribution
#           NK            48  number of subsections
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            94  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 7.5886600e-08 0.0000000e+00 0.0000000e+00
 7.0000000e+06 2.4125000e-04 0.0000000e+00 0.0000000e+00
 8.0000000e+06 4.5676200e-04 9.9067500e-01 4.5250269e-04
 9.0000000e+06 8.2474700e-04 9.9968700e-01 8.2448885e-04
 1.1000000e+07 2.4500000e-03 9.9985900e-01 2.4496545e-03
 1.1300000e+07 2.9570000e-03 9.9986400e-01 2.9565978e-03
 1.1600000e+07 3.4640000e-03 9.9986800e-01 3.4635428e-03
 1.2000000e+07 4.1400000e-03 9.9987200e-01 4.1394701e-03
 1.2400000e+07 5.2960000e-03 9.9987500e-01 5.2953380e-03
 1.2800000e+07 6.4520000e-03 9.9978200e-01 6.4505935e-03
 1.3200000e+07 8.0500000e-03 9.9927900e-01 8.0441959e-03
 1.3600000e+07 1.0090000e-02 9.9771500e-01 1.0066944e-02
 1.4000000e+07 1.2130000e-02 9.9420700e-01 1.2059731e-02
 1.4400000e+07 1.5926000e-02 9.8802900e-01 1.5735350e-02
 1.4800000e+07 1.9722000e-02 9.7899900e-01 1.9307818e-02
 1.5200000e+07 2.4676000e-02 9.6746500e-01 2.3873166e-02
 1.5600000e+07 3.1374000e-02 9.5406300e-01 2.9932773e-02
 1.6000000e+07 3.9830000e-02 9.3953000e-01 3.7421480e-02
 1.6400000e+07 5.1142000e-02 9.2458600e-01 4.7285177e-02
 1.6800000e+07 6.4362000e-02 9.0984200e-01 5.8559251e-02
 1.7200000e+07 7.8346000e-02 8.9692100e-01 7.0270173e-02
 1.7600000e+07 9.1490000e-02 8.8646300e-01 8.1102500e-02
 1.8000000e+07 1.0173000e-01 8.7748100e-01 8.9266142e-02
 1.8400000e+07 1.0553000e-01 8.6998500e-01 9.1809517e-02
 1.8800000e+07 1.0549600e-01 8.6338600e-01 9.1083769e-02
 1.9200000e+07 1.0302400e-01 8.5646700e-01 8.8236656e-02
 1.9600000e+07 9.9214000e-02 8.5041200e-01 8.4372776e-02
 2.0000000e+07 9.4870000e-02 8.4422400e-01 8.0091531e-02
 2.0400000e+07 9.0182000e-02 8.4581800e-01 7.6277559e-02
 2.1200000e+07 8.0246000e-02 9.1406300e-01 7.3349899e-02
 2.1400000e+07 7.7682000e-02 9.4255900e-01 7.3219868e-02
 2.1600000e+07 7.5128000e-02 9.7408200e-01 7.3180832e-02
 2.2000000e+07 7.0040000e-02 1.0422400e+00 7.2998490e-02
 2.2400000e+07 6.5200000e-02 1.1115600e+00 7.2473712e-02
 2.2800000e+07 6.0642000e-02 1.1762900e+00 7.1332578e-02
 2.3200000e+07 5.6410000e-02 1.2341600e+00 6.9618966e-02
 2.3600000e+07 5.2526000e-02 1.2847100e+00 6.7480677e-02
 2.4000000e+07 4.8990000e-02 1.3276200e+00 6.5040104e-02
 2.4400000e+07 4.5886000e-02 1.3642800e+00 6.2601352e-02
 2.4800000e+07 4.3082000e-02 1.3946200e+00 6.0083019e-02
 2.5200000e+07 4.0550000e-02 1.4198900e+00 5.7576540e-02
 2.5600000e+07 3.8266000e-02 1.4408800e+00 5.5136714e-02
 2.6000000e+07 3.6210000e-02 1.4578200e+00 5.2787662e-02
 2.6400000e+07 3.4402000e-02 1.4713500e+00 5.0617383e-02
 2.6800000e+07 3.2762000e-02 1.4823300e+00 4.8564095e-02
 2.7200000e+07 3.1274000e-02 1.4908400e+00 4.6624530e-02
 2.7600000e+07 2.9922000e-02 1.4971400e+00 4.4797423e-02
 2.8000000e+07 2.8690000e-02 1.5016600e+00 4.3082625e-02
 2.8400000e+07 2.7594000e-02 1.5046100e+00 4.1518208e-02
 2.8900000e+07 2.6336000e-02 1.5063100e+00 3.9670180e-02
 2.9200000e+07 2.5650000e-02 1.5063800e+00 3.8638647e-02
 2.9600000e+07 2.4794000e-02 1.5053500e+00 3.7323648e-02
 3.0000000e+07 2.4010000e-02 1.5035700e+00 3.6100716e-02
 3.0500000e+07 2.3120000e-02 1.5017400e+00 3.4720229e-02
 3.1000000e+07 2.2310000e-02 1.5020300e+00 3.3510289e-02
 3.2000000e+07 2.0900000e-02 1.5129700e+00 3.1621073e-02
 3.3000000e+07 1.9730000e-02 1.5361100e+00 3.0307450e-02
 3.4000000e+07 1.8730000e-02 1.5665000e+00 2.9340545e-02
 3.5000000e+07 1.7870000e-02 1.6011900e+00 2.8613265e-02
 3.6000000e+07 1.7130000e-02 1.6383100e+00 2.8064250e-02
 3.7000000e+07 1.6480000e-02 1.6750200e+00 2.7604330e-02
 3.8000000e+07 1.5910000e-02 1.7122700e+00 2.7242216e-02
 3.9000000e+07 1.5410000e-02 1.7439100e+00 2.6873653e-02
 4.0000000e+07 1.4950000e-02 1.7707700e+00 2.6473011e-02
 4.1000000e+07 1.4540000e-02 1.7957300e+00 2.6109914e-02
 4.2000000e+07 1.4170000e-02 1.8152500e+00 2.5722093e-02
 4.3000000e+07 1.3840000e-02 1.8317200e+00 2.5351005e-02
 4.4000000e+07 1.3530000e-02 1.8463300e+00 2.4980845e-02
 4.5000000e+07 1.3240000e-02 1.8617700e+00 2.4649835e-02
 4.6000000e+07 1.2980000e-02 1.8778800e+00 2.4374882e-02
 4.7200000e+07 1.2682000e-02 1.8998100e+00 2.4093390e-02
 4.8200000e+07 1.2456000e-02 1.9219900e+00 2.3940307e-02
 4.9000000e+07 1.2280000e-02 1.9416900e+00 2.3843953e-02
 5.0000000e+07 1.2080000e-02 1.9680400e+00 2.3773923e-02
 5.1000000e+07 1.1890000e-02 1.9951100e+00 2.3721858e-02
 5.2000000e+07 1.1710000e-02 2.0222700e+00 2.3680782e-02
 5.3000000e+07 1.1530000e-02 2.0491500e+00 2.3626700e-02
