#    [ 2631 :  6 :   5 ]    26 -  56
# Energy and angle distribution
#           NK           221  number of subsections
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            69  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 3.5303490e-06 0.0000000e+00 0.0000000e+00
 1.1197100e+07 5.8659353e-03 0.0000000e+00 0.0000000e+00
 1.1500000e+07 6.4333270e-03 9.9662860e-01 6.4116377e-03
 1.2000000e+07 7.6527430e-03 9.9809830e-01 7.6381898e-03
 1.2500000e+07 9.3584170e-03 9.9653310e-01 9.3259723e-03
 1.3000000e+07 1.1768680e-02 9.9157760e-01 1.1669559e-02
 1.3500000e+07 1.5165300e-02 9.8547140e-01 1.4944969e-02
 1.4000000e+07 1.9946010e-02 9.7134970e-01 1.9374551e-02
 1.4500000e+07 2.6656220e-02 9.4909140e-01 2.5299189e-02
 1.5000000e+07 3.5933140e-02 9.1952470e-01 3.3041410e-02
 1.5500000e+07 4.8164690e-02 8.8457500e-01 4.2605281e-02
 1.6000000e+07 6.2537600e-02 8.4363040e-01 5.2758621e-02
 1.6500000e+07 7.5763400e-02 8.0523140e-01 6.1007069e-02
 1.7000000e+07 8.3005300e-02 7.7314890e-01 6.4175456e-02
 1.7500000e+07 8.2639310e-02 7.5621950e-01 6.2493458e-02
 1.8000000e+07 7.8364410e-02 7.4893280e-01 5.8689677e-02
 1.8500000e+07 7.4953520e-02 7.4535950e-01 5.5867318e-02
 1.9000000e+07 7.4095100e-02 7.4636300e-01 5.5301841e-02
 1.9500000e+07 7.3031620e-02 7.5033950e-01 5.4798509e-02
 2.0000000e+07 6.7354790e-02 7.5574420e-01 5.0902992e-02
 2.1000000e+07 4.6560210e-02 8.1413720e-01 3.7906399e-02
 2.2000000e+07 3.0890840e-02 9.7502790e-01 3.0119431e-02
 2.3000000e+07 2.1978700e-02 1.1353550e+00 2.4953627e-02
 2.4000000e+07 1.6719490e-02 1.2478480e+00 2.0863382e-02
 2.5000000e+07 1.3374400e-02 1.3259050e+00 1.7733184e-02
 2.6000000e+07 1.1107590e-02 1.3712740e+00 1.5231549e-02
 2.7000000e+07 9.4953990e-03 1.3919690e+00 1.3217301e-02
 2.8000000e+07 8.3063350e-03 1.3961420e+00 1.1596823e-02
 2.9000000e+07 7.4049840e-03 1.3868750e+00 1.0269787e-02
 3.0000000e+07 6.7074590e-03 1.3721360e+00 9.2035460e-03
 3.2000000e+07 5.7233830e-03 1.3368480e+00 7.6512931e-03
 3.4000000e+07 5.0924760e-03 1.3251110e+00 6.7480960e-03
 3.6000000e+07 4.6806200e-03 1.3545780e+00 6.3402649e-03
 3.8000000e+07 4.4115360e-03 1.4182230e+00 6.2565418e-03
 4.0000000e+07 4.2383620e-03 1.4847970e+00 6.2931072e-03
 4.2000000e+07 4.1306590e-03 1.5308510e+00 6.3234235e-03
 4.4000000e+07 4.0678620e-03 1.5632540e+00 6.3591015e-03
 4.6000000e+07 4.0356960e-03 1.5807190e+00 6.3793013e-03
 4.8000000e+07 4.0240730e-03 1.5957880e+00 6.4215674e-03
 5.0000000e+07 4.0257850e-03 1.6198460e+00 6.5211517e-03
 5.2000000e+07 4.0356420e-03 1.6465410e+00 6.6448500e-03
 5.4000000e+07 4.0499040e-03 1.6758840e+00 6.7871693e-03
 5.6000000e+07 4.0658730e-03 1.7100660e+00 6.9529112e-03
 5.8000000e+07 4.0816140e-03 1.7363830e+00 7.0872452e-03
 6.0000000e+07 4.0957560e-03 1.7705730e+00 7.2518350e-03
 6.2000000e+07 4.1073390e-03 1.7989780e+00 7.3890125e-03
 6.4000000e+07 4.1157130e-03 1.8287230e+00 7.5264990e-03
 6.6000000e+07 4.1204580e-03 1.8631560e+00 7.6770560e-03
 6.8000000e+07 4.1213240e-03 1.8933580e+00 7.8031418e-03
 7.0000000e+07 4.1181890e-03 1.9256330e+00 7.9301206e-03
 7.2000000e+07 4.1110280e-03 1.9174200e+00 7.8825673e-03
 7.4000000e+07 4.0998880e-03 1.9501020e+00 7.9951998e-03
 7.6000000e+07 4.0848680e-03 1.9766220e+00 8.0742400e-03
 7.8000000e+07 4.0661070e-03 2.0106040e+00 8.1753310e-03
 8.0000000e+07 4.0437730e-03 2.0408560e+00 8.2527584e-03
 8.5000000e+07 3.9735780e-03 2.1119790e+00 8.3921133e-03
 9.0000000e+07 3.8855320e-03 2.1793160e+00 8.4678021e-03
 9.5000000e+07 3.7831200e-03 2.2512240e+00 8.5166505e-03
 1.0000000e+08 3.6698410e-03 2.3184650e+00 8.5083979e-03
 1.1000000e+08 3.4242100e-03 2.4590290e+00 8.4202317e-03
 1.2000000e+08 3.1742570e-03 2.6946110e+00 8.5533878e-03
 1.3000000e+08 2.9431780e-03 2.8316830e+00 8.3341471e-03
 1.4000000e+08 2.7518860e-03 2.9683510e+00 8.1685636e-03
 1.5000000e+08 2.5136060e-03 3.0954680e+00 7.7807869e-03
 1.6000000e+08 2.3076760e-03 3.2261230e+00 7.4448466e-03
 1.7000000e+08 2.1282890e-03 3.3520870e+00 7.1342099e-03
 1.8000000e+08 1.9709070e-03 3.4766930e+00 6.8522386e-03
 1.9000000e+08 1.8319410e-03 3.7401410e+00 6.8517176e-03
 2.0000000e+08 1.7085190e-03 3.8628230e+00 6.5997065e-03


#           NR             1
#           NE            30
#         LANG             1  1: Legendre, 2:KM systematics, 11-15: tabulated
#          LEP             2  secondary energy interpolation
#           E1 1.0000000e+06  incident energy
#          NEP             3  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             0  number of angular parameters
 0.0000000e+00 0.0000000e+00
 5.0000000e-01 2.0000000e+00
 1.0000000e+00 0.0000000e+00


#           E1 1.1197100e+07  incident energy
#          NEP             3  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             0  number of angular parameters
 0.0000000e+00 0.0000000e+00
 5.0000000e-01 2.0000000e+00
 1.0000000e+00 0.0000000e+00


#           E1 1.2000000e+07  incident energy
#          NEP            10  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             0  number of angular parameters
 0.0000000e+00 0.0000000e+00
 2.5000000e+04 3.3003900e-12
 1.0000000e+05 1.4786800e-12
 2.0000000e+05 9.6533900e-13
 3.0000000e+05 5.6834900e-13
 4.0000000e+05 5.4988950e-06
 5.0000000e+05 1.0874200e-13
 6.0000000e+05 3.0935800e-14
 7.0000000e+05 3.7645100e-15
 8.0000000e+05 9.0022000e-06


#           E1 1.4000000e+07  incident energy
#          NEP            30  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             4  number of angular parameters
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.5000000e+04 3.2093200e-11 -6.366700e-27 -4.116310e-27 6.4315000e-28 3.0872300e-27
 1.0000000e+05 2.2210400e-11 -1.450120e-27 2.1913300e-27 -4.438120e-28 -1.588720e-27
 2.0000000e+05 3.8849920e-08 8.8783500e-11 2.6943700e-12 5.8332800e-14 1.0866700e-15
 3.0000000e+05 9.2664620e-07 4.0583100e-10 1.2413400e-11 2.6772600e-13 2.7420000e-15
 4.0000000e+05 1.9273400e-11 2.2754700e-28 -1.521240e-27 1.4364100e-28 -4.326040e-27
 5.0000000e+05 1.5658670e-08 4.1030300e-10 1.2807800e-11 2.8556600e-13 4.9601800e-15
 6.0000000e+05 3.1796540e-09 1.5412700e-10 4.8454800e-12 1.0884800e-13 1.8963400e-15
 7.0000000e+05 3.3314480e-07 2.2140000e-10 7.0065500e-12 1.5858600e-13 2.2431400e-15
 8.0000000e+05 2.5224200e-06 3.4963600e-10 1.1177300e-11 2.6697800e-13 2.7972600e-15
 9.0000000e+05 1.1232010e-06 7.2581200e-10 2.3460200e-11 5.3976900e-13 7.2663400e-15
 1.0000000e+06 6.7248000e-12 -1.096660e-27 -1.061580e-27 4.9138500e-29 5.3078800e-28
