#    [ 3443 :  6 :   5 ]    34 -  80
# Energy and angle distribution
#           NK           119  number of subsections
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            72  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.1041700e-06 0.0000000e+00 0.0000000e+00
 9.5000000e+06 1.9524800e-02 0.0000000e+00 0.0000000e+00
 1.0000000e+07 2.2022600e-02 9.0318200e-04 1.9890416e-05
 1.0500000e+07 2.4798200e-02 8.3514600e-01 2.0710118e-02
 1.1000000e+07 2.8066300e-02 9.6888500e-01 2.7193017e-02
 1.1500000e+07 3.2329200e-02 9.8524400e-01 3.1852150e-02
 1.2000000e+07 3.7881600e-02 9.8938300e-01 3.7479411e-02
 1.2500000e+07 4.4969900e-02 9.9110000e-01 4.4569668e-02
 1.3000000e+07 5.3841600e-02 9.9207900e-01 5.3415121e-02
 1.3500000e+07 6.4713210e-02 9.9275300e-01 6.4244233e-02
 1.4000000e+07 7.7667800e-02 9.9325900e-01 7.7144241e-02
 1.4500000e+07 9.2464510e-02 9.9373200e-01 9.1884942e-02
 1.5000000e+07 1.0827700e-01 9.9406800e-01 1.0763470e-01
 1.5500000e+07 1.2348000e-01 9.9428200e-01 1.2277394e-01
 1.6000000e+07 1.3576200e-01 9.9466000e-01 1.3503703e-01
 1.6500000e+07 1.4280500e-01 9.9485600e-01 1.4207041e-01
 1.7000000e+07 1.4334000e-01 1.0128300e+00 1.4517905e-01
 1.7500000e+07 1.3777500e-01 1.0813600e+00 1.4898437e-01
 1.8000000e+07 1.2785600e-01 1.1957400e+00 1.5288253e-01
 1.8500000e+07 1.1572200e-01 1.3145300e+00 1.5212004e-01
 1.9000000e+07 1.0313600e-01 1.4094000e+00 1.4535988e-01
 1.9500000e+07 9.1207500e-02 1.5079000e+00 1.3753179e-01
 2.0000000e+07 8.0476200e-02 1.5856900e+00 1.2761031e-01
 2.1000000e+07 6.2929600e-02 1.7044200e+00 1.0725847e-01
 2.2000000e+07 5.0128610e-02 1.7684700e+00 8.8650943e-02
 2.3000000e+07 4.0843000e-02 1.7970000e+00 7.3394871e-02
 2.4000000e+07 3.4025400e-02 1.8065200e+00 6.1467566e-02
 2.5000000e+07 2.8929600e-02 1.8144900e+00 5.2492470e-02
 2.6000000e+07 2.5048400e-02 1.8185800e+00 4.5552519e-02
 2.7000000e+07 2.2039200e-02 1.8180600e+00 4.0068588e-02
 2.8000000e+07 1.9668100e-02 1.8288100e+00 3.5969218e-02
 2.9000000e+07 1.7772600e-02 1.8818900e+00 3.3446078e-02
 3.0000000e+07 1.6237800e-02 1.9479400e+00 3.1630260e-02
 3.2000000e+07 1.3941700e-02 2.1165500e+00 2.9508305e-02
 3.4000000e+07 1.2344900e-02 2.2329300e+00 2.7565298e-02
 3.6000000e+07 1.1200000e-02 2.3047000e+00 2.5812640e-02
 3.8000000e+07 1.0358500e-02 2.3832100e+00 2.4686481e-02
 4.0000000e+07 9.7265800e-03 2.4502200e+00 2.3832261e-02
 4.2000000e+07 9.2430900e-03 2.5362700e+00 2.3442972e-02
 4.4000000e+07 8.8665900e-03 2.6130200e+00 2.3168577e-02
 4.6000000e+07 8.5683500e-03 2.6826900e+00 2.2986227e-02
 4.8000000e+07 8.3279600e-03 2.7628000e+00 2.3008488e-02
 5.0000000e+07 8.1306700e-03 2.8269500e+00 2.2984998e-02
 5.2000000e+07 7.9655910e-03 2.9099000e+00 2.3179073e-02
 5.4000000e+07 7.8246400e-03 2.9956400e+00 2.3439805e-02
 5.6000000e+07 7.7017110e-03 3.0885100e+00 2.3786811e-02
 5.8000000e+07 7.5921700e-03 3.1662600e+00 2.4038784e-02
 6.0000000e+07 7.4924800e-03 3.2341600e+00 2.4231879e-02
 6.2000000e+07 7.3998900e-03 3.3057600e+00 2.4462260e-02
 6.4000000e+07 7.3123100e-03 3.3762300e+00 2.4688040e-02
 6.6000000e+07 7.2281000e-03 3.4514000e+00 2.4947064e-02
 6.8000000e+07 7.1460300e-03 3.5280300e+00 2.5211408e-02
 7.0000000e+07 7.0651300e-03 3.6019400e+00 2.5448174e-02
 7.2000000e+07 6.9846710e-03 3.6625300e+00 2.5581567e-02
 7.4000000e+07 6.9041200e-03 3.7317100e+00 2.5764174e-02
 7.6000000e+07 6.8230700e-03 3.7972900e+00 2.5909175e-02
 7.8000000e+07 6.7412400e-03 3.8571600e+00 2.6002041e-02
 8.0000000e+07 6.6584500e-03 3.9111300e+00 2.6042064e-02
 8.5000000e+07 6.4466900e-03 4.0568700e+00 2.6153383e-02
 9.0000000e+07 6.2281400e-03 4.2043200e+00 2.6185094e-02
 9.5000000e+07 6.0040300e-03 4.3355600e+00 2.6030832e-02
 1.0000000e+08 5.7764600e-03 4.4654200e+00 2.5794320e-02
 1.1000000e+08 5.3217000e-03 4.7201800e+00 2.5119382e-02
 1.2000000e+08 4.8874400e-03 4.9684100e+00 2.4282806e-02
 1.3000000e+08 4.4983600e-03 5.2253500e+00 2.3505505e-02
 1.4000000e+08 4.1786500e-03 5.4765700e+00 2.2884669e-02
 1.5000000e+08 3.8029800e-03 5.7468600e+00 2.1855194e-02
 1.6000000e+08 3.4802900e-03 6.0220300e+00 2.0958411e-02
 1.7000000e+08 3.2006800e-03 6.2801300e+00 2.0100686e-02
 1.8000000e+08 2.9565100e-03 6.5136800e+00 1.9257760e-02
 1.9000000e+08 2.7418000e-03 6.6450100e+00 1.8219288e-02
 2.0000000e+08 2.5518100e-03 6.6558500e+00 1.6984465e-02


#           NR             1
#           NE            26
#         LANG             2  1: Legendre, 2:KM systematics, 11-15: tabulated
#          LEP             1  secondary energy interpolation
#           E1 1.0000000e+06  incident energy
#          NEP             2  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             1  number of angular parameters
 0.0000000e+00 6.7508100e-04 0.0000000e+00
 1.4813040e+03 0.0000000e+00 0.0000000e+00


#           E1 1.0000000e+07  incident energy
#          NEP             2  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             1  number of angular parameters
 0.0000000e+00 6.7508100e-04 0.0000000e+00
 1.4813040e+03 0.0000000e+00 0.0000000e+00


#           E1 1.2000000e+07  incident energy
#          NEP            18  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             1  number of angular parameters
 0.0000000e+00 1.7452910e-09 4.0500900e-02
 1.4813040e+03 3.4501890e-09 2.9265100e-02
 3.4563750e+03 8.5378550e-09 1.9304100e-02
 7.4065190e+03 1.6987790e-08 1.4469800e-02
 1.4813040e+04 3.3849480e-08 1.1368700e-02
 3.4563750e+04 7.5905110e-08 1.0406700e-02
 7.4065200e+04 1.3837880e-07 1.1192600e-02
 1.4813040e+05 2.7076270e-07 1.2397900e-02
 2.4688400e+05 3.9720620e-07 1.3491500e-02
 3.4563760e+05 5.0566830e-07 1.4572700e-02
 4.4439110e+05 5.9095400e-07 1.5702200e-02
 5.4314470e+05 6.5340800e-07 1.6902600e-02
 6.4189830e+05 6.9569090e-07 1.8201800e-02
 7.4065190e+05 7.2173670e-07 1.9615100e-02
 8.3940550e+05 7.3536370e-07 2.1159900e-02
 1.1356660e+06 7.0973570e-07 3.2049800e-02
 1.6294340e+06 7.8678580e-08 1.0000000e+00
 2.1232020e+06 1.0000000e-19 1.0000000e+00


#           E1 1.4000000e+07  incident energy
#          NEP            34  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             1  number of angular parameters
 0.0000000e+00 8.5245300e-10 1.0834800e-01
 1.4813040e+03 1.9492530e-09 6.7648700e-02
 3.4563750e+03 4.3236370e-09 4.9706500e-02
 7.4065190e+03 8.2606030e-09 3.8702200e-02
 1.4813040e+04 1.6046120e-08 3.1031500e-02
 3.4563750e+04 3.8736220e-08 2.5980700e-02
 7.4065200e+04 7.6335470e-08 2.5187500e-02
 1.4813040e+05 1.4728390e-07 2.6847500e-02
 2.4688400e+05 2.1349650e-07 2.8033000e-02
 3.4563760e+05 2.6766990e-07 2.9123300e-02
 4.4439110e+05 3.1070090e-07 2.9894600e-02
 5.4314470e+05 3.4269350e-07 3.0486800e-02
 6.4189830e+05 3.6026400e-07 3.1379200e-02
 7.4065190e+05 3.7214510e-07 3.1969400e-02
 8.3940550e+05 3.7606050e-07 3.2712400e-02
 9.3815910e+05 3.7530260e-07 3.3442000e-02
 1.0369130e+06 3.7189720e-07 3.3959400e-02
 1.1356660e+06 3.6617430e-07 3.4631200e-02
 1.2344200e+06 3.5897680e-07 3.5276800e-02
 1.3331730e+06 3.5121410e-07 3.5846300e-02
 1.4319270e+06 3.4297600e-07 3.5954700e-02
 1.5306810e+06 3.3512850e-07 3.7476900e-02
 1.6294340e+06 3.2801710e-07 4.1096600e-02
 1.7281880e+06 3.2103670e-07 4.5093000e-02
 1.8269410e+06 3.1411790e-07 4.9489500e-02
 1.9256950e+06 3.0716700e-07 5.4303700e-02
 2.0738250e+06 2.9269230e-07 6.5233000e-02
 2.2713330e+06 2.7675960e-07 7.7979000e-02
 2.4688400e+06 2.5924430e-07 9.2588000e-02
 2.6663470e+06 2.4028510e-07 1.0925100e-01
 3.0119840e+06 1.9172150e-07 1.6183700e-01
 3.5057520e+06 4.0839340e-08 1.0000000e+00
