#    [ 4028 :  6 :   5 ]    40 -  91
# Energy and angle distribution
#           NK           137  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            77  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 0.0000000e+00 0.0000000e+00 0.0000000e+00
 7.0000000e+06 3.2221300e-03 0.0000000e+00 0.0000000e+00
 7.5000000e+06 5.1443400e-03 7.0789200e-01 3.6416371e-03
 8.0000000e+06 6.7816900e-03 8.7285100e-01 5.9194049e-03
 8.5000000e+06 8.3702210e-03 9.1860400e-01 7.6889185e-03
 9.0000000e+06 9.9461910e-03 9.4789600e-01 9.4279547e-03
 9.5000000e+06 1.1481200e-02 9.7182200e-01 1.1157683e-02
 1.0000000e+07 1.3140500e-02 9.9783100e-01 1.3111998e-02
 1.0500000e+07 1.5190000e-02 9.9818400e-01 1.5162415e-02
 1.1000000e+07 1.7895400e-02 9.9814600e-01 1.7862222e-02
 1.1500000e+07 2.1490700e-02 9.9735800e-01 2.1433922e-02
 1.2000000e+07 2.6257300e-02 9.9566200e-01 2.6143396e-02
 1.2500000e+07 3.2579700e-02 9.9203000e-01 3.2320040e-02
 1.3000000e+07 4.0999300e-02 9.8500000e-01 4.0384310e-02
 1.3500000e+07 5.2262900e-02 9.7179500e-01 5.0788825e-02
 1.4000000e+07 6.7336400e-02 9.5052800e-01 6.4005134e-02
 1.4500000e+07 8.7275100e-02 9.2781900e-01 8.0975496e-02
 1.5000000e+07 1.1267200e-01 9.1652500e-01 1.0326670e-01
 1.5500000e+07 1.4227100e-01 9.2121500e-01 1.3106218e-01
 1.6000000e+07 1.7089900e-01 9.3543300e-01 1.5986456e-01
 1.6500000e+07 1.8929700e-01 9.5140700e-01 1.8009849e-01
 1.7000000e+07 1.8980700e-01 9.6513300e-01 1.8318900e-01
 1.7500000e+07 1.7362000e-01 9.7544100e-01 1.6935607e-01
 1.8000000e+07 1.4901000e-01 9.8260700e-01 1.4641827e-01
 1.8500000e+07 1.2376300e-01 9.8611100e-01 1.2204406e-01
 1.9000000e+07 1.0176900e-01 9.8707300e-01 1.0045343e-01
 1.9500000e+07 8.3956200e-02 1.0814800e+00 9.0796951e-02
 2.0000000e+07 6.9947410e-02 1.3091800e+00 9.1573750e-02
 2.1000000e+07 5.0298800e-02 1.5685000e+00 7.8893668e-02
 2.2000000e+07 3.8009100e-02 1.6406300e+00 6.2358870e-02
 2.3000000e+07 2.9991500e-02 1.6326300e+00 4.8965023e-02
 2.4000000e+07 2.4535100e-02 1.5774900e+00 3.8703875e-02
 2.5000000e+07 2.0682200e-02 1.5376500e+00 3.1801985e-02
 2.6000000e+07 1.7876500e-02 1.5269900e+00 2.7297237e-02
 2.7000000e+07 1.5780700e-02 1.5408100e+00 2.4315060e-02
 2.8000000e+07 1.4182000e-02 1.5680400e+00 2.2237943e-02
 2.9000000e+07 1.2941300e-02 1.6115800e+00 2.0855940e-02
 3.0000000e+07 1.1964500e-02 1.6988100e+00 2.0325412e-02
 3.2000000e+07 1.0560000e-02 1.9348000e+00 2.0431488e-02
 3.4000000e+07 9.6369110e-03 2.1441900e+00 2.0663368e-02
 3.6000000e+07 9.0143210e-03 2.2809900e+00 2.0561576e-02
 3.8000000e+07 8.5868800e-03 2.3539000e+00 2.0212657e-02
 4.0000000e+07 8.2897600e-03 2.3957400e+00 1.9860110e-02
 4.2000000e+07 8.0813800e-03 2.4295000e+00 1.9633713e-02
