#    [ 4225 :  6 :   5 ]    42 -  92
# Energy and angle distribution
#           NK           334  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            66  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.0498020e-05 0.0000000e+00 0.0000000e+00
 1.2671070e+07 4.9709962e-02 0.0000000e+00 0.0000000e+00
 1.3000000e+07 5.9201520e-02 4.6544310e-03 2.7554939e-04
 1.3500000e+07 7.8835060e-02 2.2892110e-01 1.8047009e-02
 1.4000000e+07 1.0531210e-01 3.5067630e-01 3.6930458e-02
 1.4500000e+07 1.3992880e-01 4.9883480e-01 6.9801355e-02
 1.5000000e+07 1.8178250e-01 4.7919190e-01 8.7108702e-02
 1.5500000e+07 2.2458050e-01 5.4543470e-01 1.2249400e-01
 1.6000000e+07 2.5554820e-01 5.7959050e-01 1.4811331e-01
 1.6500000e+07 2.6269140e-01 6.1603960e-01 1.6182830e-01
 1.7000000e+07 2.4576400e-01 6.5331170e-01 1.6056050e-01
 1.7500000e+07 2.1528050e-01 6.6694520e-01 1.4358030e-01
 1.8000000e+07 1.8217070e-01 6.8973610e-01 1.2564971e-01
 1.8500000e+07 1.5236170e-01 7.0754590e-01 1.0780290e-01
 1.9000000e+07 1.2763370e-01 7.2507100e-01 9.2543494e-02
 1.9500000e+07 1.0779030e-01 7.4131170e-01 7.9906211e-02
 2.0000000e+07 9.2014640e-02 7.5480590e-01 6.9453193e-02
 2.1000000e+07 6.9193740e-02 7.7309440e-01 5.3493293e-02
 2.2000000e+07 5.4141900e-02 7.8181260e-01 4.2328820e-02
 2.3000000e+07 4.3768440e-02 7.9046040e-01 3.4597219e-02
 2.4000000e+07 3.6320160e-02 8.7907380e-01 3.1928101e-02
 2.5000000e+07 3.0780680e-02 9.4603400e-01 2.9119570e-02
 2.6000000e+07 2.6538260e-02 9.7467280e-01 2.5866120e-02
 2.7000000e+07 2.3209970e-02 1.0006600e+00 2.3225289e-02
 2.8000000e+07 2.0547140e-02 1.0170830e+00 2.0898147e-02
 2.9000000e+07 1.8382760e-02 1.0286860e+00 1.8910088e-02
 3.0000000e+07 1.6601150e-02 1.0310820e+00 1.7117147e-02
 3.2000000e+07 1.3878920e-02 1.0437440e+00 1.4486039e-02
 3.4000000e+07 1.1947440e-02 1.0518750e+00 1.2567213e-02
 3.6000000e+07 1.0555340e-02 1.0688580e+00 1.1282160e-02
 3.8000000e+07 9.5444030e-03 1.0984250e+00 1.0483811e-02
 4.0000000e+07 8.8087160e-03 1.1315210e+00 9.9672471e-03
 4.2000000e+07 8.2741230e-03 1.1670320e+00 9.6561663e-03
 4.4000000e+07 7.8872010e-03 1.1984560e+00 9.4524634e-03
 4.6000000e+07 7.6087710e-03 1.2287740e+00 9.3494600e-03
 4.8000000e+07 7.4098030e-03 1.2618810e+00 9.3502896e-03
 5.0000000e+07 7.2686590e-03 1.2893300e+00 9.3717001e-03
 5.2000000e+07 7.1691590e-03 1.3206020e+00 9.4676057e-03
 5.4000000e+07 7.0991790e-03 1.3502770e+00 9.5858581e-03
 5.6000000e+07 7.0496350e-03 1.3808890e+00 9.7347634e-03
 5.8000000e+07 7.0137200e-03 1.4130150e+00 9.9104916e-03
 6.0000000e+07 6.9863430e-03 1.4425090e+00 1.0077863e-02
 6.2000000e+07 6.9637110e-03 1.4745160e+00 1.0268103e-02
 6.4000000e+07 6.9430090e-03 1.5059230e+00 1.0455637e-02
 6.6000000e+07 6.9221700e-03 1.5357210e+00 1.0630522e-02
 6.8000000e+07 6.8996930e-03 1.5644200e+00 1.0794018e-02
 7.0000000e+07 6.8745110e-03 1.5961860e+00 1.0972998e-02
 7.2000000e+07 6.8458880e-03 1.6221330e+00 1.1104941e-02
 7.4000000e+07 6.8133450e-03 1.6503160e+00 1.1244172e-02
 7.6000000e+07 6.7765930e-03 1.6833060e+00 1.1407080e-02
 7.8000000e+07 6.7354990e-03 1.7127600e+00 1.1536293e-02
 8.0000000e+07 6.6900390e-03 1.7407310e+00 1.1645558e-02
 8.5000000e+07 6.5578990e-03 1.8103270e+00 1.1871942e-02
 9.0000000e+07 6.4016750e-03 1.8780300e+00 1.2022538e-02
 9.5000000e+07 6.2253580e-03 1.9495630e+00 1.2136728e-02
 1.0000000e+08 6.0335830e-03 2.0180160e+00 1.2175867e-02
 1.1000000e+08 5.6231880e-03 2.1498050e+00 1.2088758e-02
 1.2000000e+08 5.2091170e-03 2.2762190e+00 1.1857091e-02
 1.3000000e+08 4.8277920e-03 2.4034690e+00 1.1603448e-02
 1.4000000e+08 4.5126870e-03 2.5381530e+00 1.1453890e-02
 1.5000000e+08 4.1211720e-03 2.6523130e+00 1.0930638e-02
 1.6000000e+08 3.7830340e-03 2.7737000e+00 1.0493001e-02
 1.7000000e+08 3.4886170e-03 2.8904660e+00 1.0083729e-02
 1.8000000e+08 3.2304060e-03 2.9979060e+00 9.6844535e-03
 1.9000000e+08 3.0024690e-03 3.1162150e+00 9.3563389e-03
 2.0000000e+08 2.8000670e-03 3.2222570e+00 9.0225355e-03


#           NR             1
#           NE            29
#         LANG             1  1: Legendre, 2:KM systematics, 11-15: tabulated
#          LEP             2  secondary energy interpolation
#           E1 1.0000000e+06  incident energy
#          NEP             3  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             2  number of angular parameters
# Energy       PL( 0)        PL( 1)        PL( 2)       
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 5.0000000e-01 2.0000000e+00 0.0000000e+00 0.0000000e+00
 1.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00


#           E1 1.2671070e+07  incident energy
#          NEP             3  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             2  number of angular parameters
# Energy       PL( 0)        PL( 1)        PL( 2)       
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 5.0000000e-01 2.0000000e+00 0.0000000e+00 0.0000000e+00
 1.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00


#           E1 1.4000000e+07  incident energy
#          NEP            15  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             2  number of angular parameters
# Energy       PL( 0)        PL( 1)        PL( 2)       
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.5000000e+04 6.1675800e-11 -3.204820e-27 6.0850800e-28
 1.0000000e+05 1.5708500e-10 -8.162490e-27 1.5498400e-27
 2.0000000e+05 2.8788490e-06 3.5057000e-11 1.0429300e-12
 3.0000000e+05 1.2277600e-10 -2.435660e-26 -1.574740e-26
 4.0000000e+05 7.7864400e-11 -1.370830e-26 7.6822900e-28
 5.0000000e+05 4.7490000e-11 -5.707260e-28 0.0000000e+00
 6.0000000e+05 3.0401100e-11 8.5722000e-28 -1.199780e-27
 7.0000000e+05 5.8293160e-06 -1.156430e-21 -7.476750e-22
 8.0000000e+05 1.0469500e-11 8.8583000e-29 9.2965200e-28
 9.0000000e+05 5.4417500e-12 -5.722030e-28 3.7582700e-28
 1.0000000e+06 2.3807900e-12 -2.503410e-28 1.6442600e-28
 1.1000000e+06 7.3449100e-13 8.2787400e-30 -4.348000e-29
 1.2000000e+06 8.6851800e-14 -1.569550e-30 -5.141410e-30
 1.3000000e+06 2.5827380e-06 -1.993850e-22 -5.096380e-23


#           E1 1.6000000e+07  incident energy
#          NEP            33  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             4  number of angular parameters
# Energy       PL( 0)        PL( 1)        PL( 2)        PL( 3)        PL( 4)       
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.6666670e+04 7.1782540e-08 -8.307190e-24 2.1246700e-24 1.1120900e-24 -1.062340e-24
 1.0666670e+05 2.8387250e-07 4.2797200e-10 1.3564300e-11 3.0729100e-13 5.1709000e-15
 2.1333330e+05 5.1717910e-07 8.3954600e-10 2.6885600e-11 6.1542800e-13 1.0689700e-14
