#    [ 5025 :  6 :   5 ]    50 - 112
# Energy and angle distribution
#           NK           371  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            70  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.7648650e-05 0.0000000e+00 0.0000000e+00
 1.0787790e+07 3.7593065e-02 0.0000000e+00 0.0000000e+00
 1.1000000e+07 4.1535600e-02 4.2821750e-01 1.7786271e-02
 1.1500000e+07 5.3890460e-02 8.9780830e-01 4.8383302e-02
 1.2000000e+07 7.0220370e-02 9.2623120e-01 6.5040298e-02
 1.2500000e+07 9.1558710e-02 9.2934650e-01 8.5089767e-02
 1.3000000e+07 1.1887130e-01 9.2064270e-01 1.0943799e-01
 1.3500000e+07 1.5250930e-01 9.1436000e-01 1.3944840e-01
 1.4000000e+07 1.9100730e-01 9.1291330e-01 1.7437310e-01
 1.4500000e+07 2.2952790e-01 9.1533190e-01 2.1009421e-01
 1.5000000e+07 2.5979640e-01 9.2030300e-01 2.3909141e-01
 1.5500000e+07 2.7373400e-01 9.2695130e-01 2.5373809e-01
 1.6000000e+07 2.6888640e-01 9.3413240e-01 2.5117550e-01
 1.6500000e+07 2.4967260e-01 9.4128070e-01 2.3501200e-01
 1.7000000e+07 2.2334460e-01 9.4644290e-01 2.1138291e-01
 1.7500000e+07 1.9580690e-01 9.5032860e-01 1.8608090e-01
 1.8000000e+07 1.7033170e-01 9.5291250e-01 1.6231121e-01
 1.8500000e+07 1.4815700e-01 9.5428030e-01 1.4138331e-01
 1.9000000e+07 1.2941130e-01 9.5433550e-01 1.2350180e-01
 1.9500000e+07 1.1375300e-01 1.0433630e+00 1.1868567e-01
 2.0000000e+07 1.0070570e-01 1.1731430e+00 1.1814219e-01
 2.1000000e+07 8.0461520e-02 1.3942270e+00 1.1218162e-01
 2.2000000e+07 6.5949370e-02 1.5156680e+00 9.9957350e-02
 2.3000000e+07 5.5231330e-02 1.5919860e+00 8.7927504e-02
 2.4000000e+07 4.7083720e-02 1.6384000e+00 7.7141967e-02
 2.5000000e+07 4.0729030e-02 1.6611070e+00 6.7655277e-02
 2.6000000e+07 3.5662590e-02 1.6697350e+00 5.9547075e-02
 2.7000000e+07 3.1548320e-02 1.6677700e+00 5.2615342e-02
 2.8000000e+07 2.8156520e-02 1.6596700e+00 4.6730532e-02
 2.9000000e+07 2.5326150e-02 1.6463360e+00 4.1695352e-02
 3.0000000e+07 2.2941470e-02 1.6303920e+00 3.7403589e-02
 3.2000000e+07 1.9189320e-02 1.6461600e+00 3.1588691e-02
 3.4000000e+07 1.6434650e-02 1.7815230e+00 2.9278707e-02
 3.6000000e+07 1.4391220e-02 1.9059540e+00 2.7429003e-02
 3.8000000e+07 1.2868950e-02 1.9813950e+00 2.5498473e-02
 4.0000000e+07 1.1734230e-02 2.0108790e+00 2.3596117e-02
 4.2000000e+07 1.0889560e-02 2.0272680e+00 2.2076057e-02
 4.4000000e+07 1.0262310e-02 2.0538490e+00 2.1077235e-02
 4.6000000e+07 9.7977820e-03 2.1029360e+00 2.0604108e-02
 4.8000000e+07 9.4546370e-03 2.1593470e+00 2.0415842e-02
 5.0000000e+07 9.2015560e-03 2.2127330e+00 2.0360587e-02
 5.2000000e+07 9.0148200e-03 2.2555350e+00 2.0333242e-02
 5.4000000e+07 8.8764660e-03 2.2858690e+00 2.0290438e-02
 5.6000000e+07 8.7728950e-03 2.3153020e+00 2.0311901e-02
 5.8000000e+07 8.6938220e-03 2.3510110e+00 2.0439271e-02
 6.0000000e+07 8.6314760e-03 2.3941840e+00 2.0665342e-02
 6.2000000e+07 8.5799970e-03 2.4381990e+00 2.0919740e-02
 6.4000000e+07 8.5349830e-03 2.4795710e+00 2.1163096e-02
 6.6000000e+07 8.4931400e-03 2.5218950e+00 2.1418807e-02
 6.8000000e+07 8.4520260e-03 2.5578680e+00 2.1619167e-02
 7.0000000e+07 8.4098510e-03 2.5932620e+00 2.1808947e-02
 7.2000000e+07 8.3653250e-03 2.6296530e+00 2.1997902e-02
 7.4000000e+07 8.3175450e-03 2.6682980e+00 2.2193689e-02
 7.6000000e+07 8.2659060e-03 2.7089720e+00 2.2392108e-02
 7.8000000e+07 8.2100350e-03 2.7482000e+00 2.2562818e-02
 8.0000000e+07 8.1497360e-03 2.7876530e+00 2.2718636e-02
 8.5000000e+07 7.9794880e-03 2.8858170e+00 2.3027342e-02
