#    [ 5231 :  6 :   5 ]    52 - 122
# Energy and angle distribution
#           NK           356  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            72  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.5695140e-05 0.0000000e+00 0.0000000e+00
 9.8402750e+06 2.1903497e-02 0.0000000e+00 0.0000000e+00
 1.0000000e+07 2.3551290e-02 6.9437730e-01 1.6353481e-02
 1.0500000e+07 3.0500650e-02 8.9588250e-01 2.7324999e-02
 1.1000000e+07 3.9873540e-02 9.5261070e-01 3.7983961e-02
 1.1500000e+07 5.2507250e-02 9.5897210e-01 5.0352988e-02
 1.2000000e+07 6.9490220e-02 9.6231990e-01 6.6871822e-02
 1.2500000e+07 9.2175940e-02 9.6694090e-01 8.9128686e-02
 1.3000000e+07 1.2202160e-01 9.7207380e-01 1.1861400e-01
 1.3500000e+07 1.5979020e-01 9.7706370e-01 1.5612520e-01
 1.4000000e+07 2.0356190e-01 9.8159720e-01 1.9981579e-01
 1.4500000e+07 2.4617110e-01 9.8551450e-01 2.4260519e-01
 1.5000000e+07 2.7562450e-01 9.8874410e-01 2.7252210e-01
 1.5500000e+07 2.8223260e-01 9.9128340e-01 2.7977249e-01
 1.6000000e+07 2.6660060e-01 9.9316690e-01 2.6477889e-01
 1.6500000e+07 2.3784780e-01 9.9446240e-01 2.3653069e-01
 1.7000000e+07 2.0556690e-01 9.9523370e-01 2.0458711e-01
 1.7500000e+07 1.7545490e-01 1.0570410e+00 1.8546302e-01
 1.8000000e+07 1.4964620e-01 1.2068000e+00 1.8059303e-01
 1.8500000e+07 1.2834510e-01 1.3715440e+00 1.7603095e-01
 1.9000000e+07 1.1100700e-01 1.5053950e+00 1.6710938e-01
 1.9500000e+07 9.6916570e-02 1.6048720e+00 1.5553869e-01
 2.0000000e+07 8.5410980e-02 1.6685750e+00 1.4251463e-01
 2.1000000e+07 6.7882960e-02 1.7344180e+00 1.1773743e-01
 2.2000000e+07 5.5544540e-02 1.7699510e+00 9.8311114e-02
 2.3000000e+07 4.6537450e-02 1.7924500e+00 8.3416052e-02
 2.4000000e+07 3.9746450e-02 1.8087420e+00 7.1891073e-02
 2.5000000e+07 3.4483760e-02 1.8198960e+00 6.2756857e-02
 2.6000000e+07 3.0311100e-02 1.8260290e+00 5.5348948e-02
 2.7000000e+07 2.6940110e-02 1.8273050e+00 4.9227798e-02
 2.8000000e+07 2.4175180e-02 1.8277510e+00 4.4186209e-02
 2.9000000e+07 2.1879830e-02 1.8551890e+00 4.0591220e-02
 3.0000000e+07 1.9956280e-02 1.9389360e+00 3.8693950e-02
 3.2000000e+07 1.6954830e-02 2.1559590e+00 3.6553918e-02
 3.4000000e+07 1.4778670e-02 2.3029930e+00 3.4035174e-02
 3.6000000e+07 1.3187040e-02 2.3759230e+00 3.1331392e-02
 3.8000000e+07 1.2020470e-02 2.4233550e+00 2.9129866e-02
 4.0000000e+07 1.1167350e-02 2.4985580e+00 2.7902272e-02
 4.2000000e+07 1.0546640e-02 2.6025220e+00 2.7447863e-02
 4.4000000e+07 1.0098290e-02 2.6986090e+00 2.7251336e-02
 4.6000000e+07 9.7773430e-03 2.7793390e+00 2.7174551e-02
 4.8000000e+07 9.5499730e-03 2.8359410e+00 2.7083160e-02
 5.0000000e+07 9.3906910e-03 2.8846500e+00 2.7088857e-02
 5.2000000e+07 9.2802900e-03 2.9300730e+00 2.7191927e-02
 5.4000000e+07 9.2043080e-03 2.9892600e+00 2.7514070e-02
 5.6000000e+07 9.1518680e-03 3.0557050e+00 2.7965409e-02
 5.8000000e+07 9.1148080e-03 3.1309460e+00 2.8537972e-02
 6.0000000e+07 9.0870180e-03 3.1970580e+00 2.9051724e-02
 6.2000000e+07 9.0639500e-03 3.2571170e+00 2.9522346e-02
 6.4000000e+07 9.0422380e-03 3.3134430e+00 2.9960940e-02
 6.6000000e+07 9.0194180e-03 3.3686390e+00 3.0383163e-02
 6.8000000e+07 8.9937150e-03 3.4324350e+00 3.0870342e-02
 7.0000000e+07 8.9638760e-03 3.4871770e+00 3.1258622e-02
 7.2000000e+07 8.9290550e-03 3.5446420e+00 3.1650303e-02
 7.4000000e+07 8.8887110e-03 3.5993770e+00 3.1993822e-02
 7.6000000e+07 8.8425410e-03 3.6485410e+00 3.2262373e-02
 7.8000000e+07 8.7904250e-03 3.6995480e+00 3.2520599e-02
