#    [ 7425 :  6 :   5 ]    74 - 180
# Energy and angle distribution
#           NK             7  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            86  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 2.0000000e+06 1.2629200e-04 0.0000000e+00 0.0000000e+00
 8.3000000e+06 2.2071400e-02 0.0000000e+00 0.0000000e+00
 8.7500000e+06 2.9804200e-02 3.5771800e-01 1.0661499e-02
 9.2000000e+06 3.9925000e-02 6.3893300e-01 2.5509400e-02
 9.6500000e+06 5.4871600e-02 7.4305500e-01 4.0772617e-02
 1.0100000e+07 7.5658100e-02 8.0327100e-01 6.0773958e-02
 1.0550000e+07 1.0707000e-01 8.4672500e-01 9.0658846e-02
 1.1000000e+07 1.4950300e-01 8.8033100e-01 1.3161213e-01
 1.1450000e+07 2.0934600e-01 9.0819400e-01 1.9012678e-01
 1.1900000e+07 2.7981200e-01 9.3100400e-01 2.6050609e-01
 1.2350000e+07 3.4190800e-01 9.4923300e-01 3.2455036e-01
 1.2800000e+07 3.6787700e-01 9.6290000e-01 3.5422876e-01
 1.3250000e+07 3.6858900e-01 9.7251100e-01 3.5845686e-01
 1.3700000e+07 3.6118900e-01 9.7916800e-01 3.5366471e-01
 1.4150000e+07 3.6245300e-01 9.8381300e-01 3.5658597e-01
 1.4600000e+07 3.7535300e-01 9.8710900e-01 3.7051432e-01
 1.5050000e+07 3.8901100e-01 9.8947400e-01 3.8491627e-01
 1.5500000e+07 3.8555800e-01 9.9126500e-01 3.8219015e-01
 1.5950000e+07 3.6077200e-01 9.9851600e-01 3.6023661e-01
 1.6400000e+07 3.2005000e-01 1.0229200e+00 3.2738555e-01
 1.6850000e+07 2.7588100e-01 1.0658400e+00 2.9404501e-01
 1.7300000e+07 2.3589300e-01 1.1269800e+00 2.6584669e-01
 1.7750000e+07 2.0123100e-01 1.2075500e+00 2.4299649e-01
 1.8200000e+07 1.7380500e-01 1.3071100e+00 2.2718225e-01
 1.8650000e+07 1.5135900e-01 1.4187300e+00 2.1473755e-01
 1.9100000e+07 1.3341200e-01 1.5315800e+00 2.0433115e-01
 1.9550000e+07 1.1919500e-01 1.6348900e+00 1.9487071e-01
 2.0000000e+07 1.0712700e-01 1.7220600e+00 1.8447912e-01
 2.0450000e+07 9.7374500e-02 1.7909300e+00 1.7439091e-01
 2.0900000e+07 8.8975600e-02 1.8421000e+00 1.6390195e-01
 2.1350000e+07 8.2011600e-02 1.8786200e+00 1.5406863e-01
 2.1800000e+07 7.6121600e-02 1.9043500e+00 1.4496217e-01
 2.2250000e+07 7.0978300e-02 1.9220300e+00 1.3642242e-01
 2.2700000e+07 6.6542100e-02 1.9342700e+00 1.2871039e-01
 2.3150000e+07 6.2735700e-02 1.9425900e+00 1.2186974e-01
