

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  K - 40                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -1.32885-24 -1.3289E-24   -3.762651917061D-05 1928  6   5    50    6
 -1.21872-26 -1.2187E-26    1.641066036499D-05 1928  6   5    52    6
 -4.43651-28 -4.4365E-28    2.254023996488D-06 1928  6   5    52    6
 -3.77917-27 -3.7792E-27   -7.938250991573D-06 1928  6   5    55    6
 -7.96597-27 -7.9660E-27   -3.766019706214D-06 1928  6   5    55    6
 -8.53657-27 -8.5366E-27   -3.514292039907D-06 1928  6   5    57    6
 -1.09167-27 -1.0917E-27   -2.748083211960D-05 1928  6   5    57    6
 -2.08069-27 -2.0807E-27   -4.806097977085D-06 1928  6   5    58    6
 -3.18928-27 -3.1893E-27   -6.271007876349D-06 1928  6   5    59    6
 -6.72257-27 -6.7226E-27   -4.462579043512D-06 1928  6   5    59    6
 -4.29032-27 -4.2903E-27    4.661656939315D-06 1928  6   5    61    6
 -6.32584-27 -6.3258E-27    6.323270901648D-06 1928  6   5    61    6
 -4.50707-27 -4.5071E-27   -6.656209022674D-06 1928  6   5    65    6
 -1.95265-27 -1.9527E-27   -2.560622743455D-05 1928  6   5    66    6
 -8.01549-28 -8.0155E-28   -1.247584364632D-06 1928  6   5    66    6
 -1.56983-27 -1.5698E-27    1.911034952830D-05 1928  6   5    68    6
 -6.44407-28 -6.4441E-28   -4.655442911108D-06 1928  6   5    68    6
 -3.10541-27 -3.1054E-27    3.220186706522D-06 1928  6   5    69    6
 -3.97125-28 -3.9713E-28   -1.259049417682D-05 1928  6   5    69    6
 -5.05031-28 -5.0503E-28    1.980076470684D-06 1928  6   5    70    6
 -2.40073-27 -2.4007E-27    1.249619907286D-05 1928  6   5    71    6
 -3.07009-28 -3.0701E-28   -3.257233501221D-06 1928  6   5    71    6
 -1.06787-27 -1.0679E-27   -2.809330723778D-05 1928  6   5    72    6
 -9.78881-28 -9.7888E-28    1.021574634778D-06 1928  6   5    72    6
 -1.22801-27 -1.2280E-27    8.143256162507D-06 1928  6   5    73    6
 -3.49215-27 -3.4922E-27   -1.431782712668D-05 1928  6   5    73    6
 -2.16859-27 -2.1686E-27   -4.611291207624D-06 1928  6   5    74    6
 -2.09921-27 -2.0992E-27    4.763696819423D-06 1928  6   5    74    6
 -3.94987-29 -3.9499E-29   -7.595186676963D-06 1928  6   5    75    6
