

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Ni- 58                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -2.83131-25 -2.8313E-25    3.531933981100D-06 2825  6   5    43    6
 -4.17462-25 -4.1746E-25    4.790855215578D-06 2825  6   5    43    6
 -3.84956-27 -3.8496E-27   -1.039079790950D-05 2825  6   5    45    6
 -2.00498-27 -2.0050E-27   -9.975161846943D-06 2825  6   5    45    6
 -2.61937-27 -2.6194E-27   -1.145313567760D-05 2825  6   5    46    6
 -9.98621-28 -9.9862E-28    1.001380904333D-06 2825  6   5    46    6
 -1.69477-27 -1.6948E-27   -1.770151701990D-05 2825  6   5    49    6
 -6.57073-28 -6.5707E-28    4.565702745385D-06 2825  6   5    49    6
 -1.55354-27 -1.5535E-27    2.574764730881D-05 2825  6   5    49    6
 -1.05188-27 -1.0519E-27   -1.901357569293D-05 2825  6   5    51    6
 -2.21721-27 -2.2172E-27    4.510172694486D-06 2825  6   5    51    6
 -1.23634-27 -1.2363E-27    3.235355970051D-05 2825  6   5    52    6
 -3.78383-28 -3.7838E-28    7.928474587966D-06 2825  6   5    52    6
 -3.17887-28 -3.1789E-28   -9.437315775648D-06 2825  6   5    53    6
 -7.98683-28 -7.9868E-28    3.756183617303D-06 2825  6   5    53    6
 -4.82222-28 -4.8222E-28    4.147467349151D-06 2825  6   5    53    6
 -1.23796-27 -1.2380E-27   -3.231122168725D-05 2825  6   5    53    6
 -8.56083-28 -8.5608E-28    3.504333107909D-06 2825  6   5    55    6
 -2.18819-28 -2.1882E-28   -4.569987067033D-06 2825  6   5    55    6
 -1.48088-28 -1.4809E-28   -1.350548322617D-05 2825  6   5    57    6
 -3.72067-28 -3.7207E-28   -8.063063910461D-06 2825  6   5    57    6
 -2.24644-28 -2.2464E-28    1.780595074872D-05 2825  6   5    57    6
 -5.76704-28 -5.7670E-28    6.935967151406D-06 2825  6   5    57    6
 -1.22237-27 -1.2224E-27   -2.454248713550D-05 2825  6   5    58    6
 -5.91216-28 -5.9122E-28   -6.765716760024D-06 2825  6   5    59    6
 -1.86507-29 -1.8651E-29   -1.608518715116D-05 2825  6   5    59    6
 -3.07925-28 -3.0793E-28   -1.623772022399D-05 2825  6   5    59    6
 -4.17775-29 -4.1778E-29   -1.196816468193D-05 2825  6   5    61    6
 -4.99908-28 -4.9991E-28   -4.000736135354D-06 2825  6   5    62    6
 -3.23209-28 -3.2321E-28   -3.093973249434D-06 2825  6   5    62    6
 -3.85601-29 -3.8560E-29    2.593354270372D-06 2825  6   5    63    6
 -9.68812-29 -9.6881E-29    2.064384008360D-06 2825  6   5    63    6
 -5.84942-29 -5.8494E-29    3.419142410734D-06 2825  6   5    63    6
 -1.50166-28 -1.5017E-28   -2.663718817838D-05 2825  6   5    63    6
 -9.35565-30 -9.3557E-30   -5.344364100740D-06 2825  6   5    64    6
 -5.95022-29 -5.9502E-29    3.361220257247D-06 2825  6   5    65    6
 -2.44252-29 -2.4425E-29    8.188264579171D-06 2825  6   5    65    6
 -1.49705-28 -1.4971E-28   -3.339901806867D-05 2825  6   5    66    6
 -3.66319-29 -3.6632E-29   -2.729861131991D-06 2825  6   5    67    6
 -1.42024-29 -1.4202E-29    2.816425392880D-05 2825  6   5    67    6
 -3.35792-29 -3.3579E-29    5.956068042013D-06 2825  6   5    67    6
 -2.25829-22 -2.2583E-22   -4.428129248328D-06 2825  6   5    68    6
 -2.88794-23 -2.8879E-23    1.385070326942D-05 2825  6   5    68    6
 -9.04073-30 -9.0407E-30    3.318316109493D-06 2825  6   5    69    6
 -3.05739-30 -3.0574E-30   -3.270763625170D-06 2825  6   5    70    6
 -3.35365-23 -3.3537E-23   -1.490912885956D-05 2825  6   5    71    6
 -1.09856-22 -1.0986E-22   -3.641130206806D-05 2825  6   5    71    6
 -7.80482-23 -7.8048E-23    2.562519058728D-06 2825  6   5    71    6
 -1.00701-22 -1.0070E-22    9.930387980348D-06 2825  6   5    71    6
 -3.78538-30 -3.7854E-30   -5.283485409448D-06 2825  6   5    72    6
 -7.97905-30 -7.9791E-30   -6.266410161497D-06 2825  6   5    72    6
 -3.37171-30 -3.3717E-30    2.965854121487D-06 2825  6   5    73    6
 -8.61825-31 -8.6183E-31   -5.801641864623D-06 2825  6   5    73    6
 -1.41997-30 -1.4200E-30   -2.112720691273D-05 2825  6   5    74    6
 -2.31921-30 -2.3192E-30    4.311813074262D-06 2825  6   5    74    6
 -4.24774-31 -4.2477E-31    9.416772212867D-06 2825  6   5    75    6
 -3.37357-31 -3.3736E-31   -8.892656740371D-06 2825  6   5    75    6
 -2.88879-31 -2.8888E-31   -3.461656956674D-06 2825  6   5    76    6
 -9.11309-33 -9.1131E-33   -1.097322642536D-06 2825  6   5    76    6
 -1.50458-31 -1.5046E-31   -1.329274614840D-05 2825  6   5    76    6
 -2.26687-32 -2.2669E-32   -1.323410694031D-05 2825  6   5    77    6
 -1.16684-22 -1.1668E-22    3.428062116496D-05 2825  6   5    78    6
 -6.14361-23 -6.1436E-23    1.627707487938D-06 2825  6   5    78    6
 -2.67827-24 -2.6783E-24   -1.120126051518D-05 2825  6   5    81    6
 -3.42501-25 -3.4250E-25    2.919699504535D-06 2825  6   5    81    6
 -1.61913-27 -1.6191E-27    1.852846899250D-05 2825  6   5    99    6
 -2.07057-28 -2.0706E-28   -1.448876396342D-05 2825  6   5    99    6
 -1.22148-27 -1.2215E-27   -1.637357959187D-05 2825  6   5   100    6
 -4.91198-28 -4.9120E-28   -4.071677816181D-06 2825  6   5   103    6
 -1.50332-28 -1.5033E-28    1.330388739603D-05 2825  6   5   103    6
 -5.38144-28 -5.3814E-28    7.432954748161D-06 2825  6   5   103    6
 -3.94854-28 -3.9485E-28    1.013032665248D-05 2825  6   5   105    6
