

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Pd-110                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -1.10839-23 -1.1084E-23   -9.022095111034D-06 4649  6   5    43    6
 -1.24659-23 -1.2466E-23   -8.021883698826D-06 4649  6   5    60    6
 -3.18635-24 -3.1864E-24   -1.569193591409D-05 4649  6   5    60    6
 -2.84508-24 -2.8451E-24   -7.029679305985D-06 4649  6   5    61    6
 -4.31588-24 -4.3159E-24   -4.634049139342D-06 4649  6   5    61    6
 -6.74542-24 -6.7454E-24    2.964974753058D-06 4649  6   5    62    6
 -2.61524-24 -2.6152E-24    1.529496336846D-05 4649  6   5    62    6
 -7.36055-24 -7.3606E-24   -6.792970633969D-06 4649  6   5    63    6
 -4.41934-24 -4.4193E-24    9.051125281092D-06 4649  6   5    64    6
 -1.11035-23 -1.1104E-23   -4.503084612961D-05 4649  6   5    64    6
 -6.70397-24 -6.7040E-24   -4.474960359253D-06 4649  6   5    64    6
 -9.96545-24 -9.9655E-24   -5.017334892038D-06 4649  6   5    64    6
 -3.79927-24 -3.7993E-24   -7.896253753912D-06 4649  6   5    65    6
 -8.16344-24 -8.1634E-24    4.899895142302D-06 4649  6   5    65    6
 -1.20365-23 -1.2037E-23   -4.154031487559D-05 4649  6   5    65    6
 -9.15165-24 -9.1517E-24   -5.463495653774D-06 4649  6   5    66    6
 -4.81852-24 -4.8185E-24    4.150652067489D-06 4649  6   5    66    6
 -1.02694-24 -1.0269E-24    3.895066897785D-05 4649  6   5    67    6
 -6.31129-24 -6.3113E-24   -1.584462130465D-06 4649  6   5    68    6
 -1.99098-25 -1.9910E-25   -1.004530432241D-05 4649  6   5    68    6
 -5.72064-24 -5.7206E-24    6.992224646148D-06 4649  6   5    69    6
 -6.92642-25 -6.9264E-25    2.887494549862D-06 4649  6   5    70    6
 -3.23496-24 -3.2350E-24   -1.236491332188D-05 4649  6   5    73    6
 -1.70327-24 -1.7033E-24   -1.761317935500D-05 4649  6   5    73    6
 -9.18881-26 -9.1888E-26    1.088280201658D-06 4649  6   5   114    6
 -7.76326-25 -7.7633E-25   -5.152474604755D-06 4649  6   5   115    6
 -3.00987-25 -3.0099E-25   -9.967207886082D-06 4649  6   5   115    6
 -7.11632-25 -7.1163E-25    2.810441351718D-06 4649  6   5   115    6
 -5.07923-25 -5.0792E-25    5.906407073620D-06 4649  6   5   116    6
 -1.96925-25 -1.9693E-25   -2.539037704705D-05 4649  6   5   116    6
 -4.65596-25 -4.6560E-25   -8.591139098960D-06 4649  6   5   116    6
 -1.03909-24 -1.0391E-24   -9.623805445264D-06 4649  6   5   117    6
 -6.09183-25 -6.0918E-25    4.924628559980D-06 4649  6   5   118    6
 -3.20746-25 -3.2075E-25   -1.247092715097D-05 4649  6   5   118    6
 -1.28385-25 -1.2839E-25   -3.894535966032D-05 4649  6   5   119    6
 -1.19813-24 -1.1981E-24    2.503901913815D-05 4649  6   5   119    6
 -9.43122-27 -9.4312E-27    2.120616420769D-06 4649  6   5   119    6
 -4.38328-26 -4.3833E-26   -4.562793159499D-06 4649  6   5   120    6
 -1.08896-24 -1.0890E-24   -3.673229503373D-05 4649  6   5   121    6
 -1.60561-24 -1.6056E-24    6.228162505290D-06 4649  6   5   121    6
 -1.25762-24 -1.2576E-24    1.590305497690D-05 4649  6   5   122    6
 -4.87586-25 -4.8759E-25   -8.203680991684D-06 4649  6   5   122    6
 -1.15281-24 -1.1528E-24    8.674456328553D-06 4649  6   5   122    6
 -6.37782-25 -6.3778E-25    3.135867741651D-06 4649  6   5   123    6
 -5.02334-26 -5.0233E-26    7.962829511906D-06 4649  6   5   124    6
 -1.16906-25 -1.1691E-25   -3.421552358295D-05 4649  6   5   124    6
 -1.50837-25 -1.5084E-25   -1.988901927236D-05 4649  6   5   124    6
 -6.15831-26 -6.1583E-26    1.623822119997D-06 4649  6   5   125    6
 -2.01728-25 -2.0173E-25   -9.914340101436D-06 4649  6   5   125    6
 -1.84918-25 -1.8492E-25   -1.081560475445D-05 4649  6   5   125    6
 -2.17056-24 -2.1706E-24   -1.842842400106D-05 4649  6   5   128    6
 -4.30244-24 -4.3024E-24    9.297050045961D-06 4649  6   5   128    6
 -3.81375-15 -3.8138E-15   -1.311045558845D-05 4649  6   5   131    6
 -3.34603-26 -3.3460E-26    8.965849081013D-06 4649  6   5   186    6
 -7.05298-26 -7.0530E-26   -2.835680804369D-06 4649  6   5   186    6
 -4.75744-26 -4.7574E-26    8.407883231389D-06 4649  6   5   187    6
 -2.47783-26 -2.4778E-26    1.210736814066D-05 4649  6   5   187    6
 -2.05054-26 -2.0505E-26    1.950705667778D-05 4649  6   5   188    6
 -8.41734-27 -8.4173E-27    4.752095079891D-06 4649  6   5   188    6
 -3.35953-26 -3.3595E-26    8.929820540534D-06 4649  6   5   189    6
 -7.08143-26 -7.0814E-26    4.236432471887D-06 4649  6   5   189    6
 -1.89267-26 -1.8927E-26   -1.585062372187D-05 4649  6   5   190    6
 -2.20034-26 -2.2003E-26    1.817900869868D-05 4649  6   5   191    6
 -6.25721-26 -6.2572E-26    1.598156366783D-06 4649  6   5   191    6
 -5.73915-26 -5.7392E-26   -8.712091511633D-06 4649  6   5   192    6
