

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Sn-117                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -7.03065-24 -7.0307E-24   -7.111717977692D-06 5040  6   5    43    6
 -7.51359-26 -7.5136E-26   -1.330921703180D-06 5040  6   5    43    6
 -7.09189-25 -7.0919E-25   -1.410061351709D-06 5040  6   5    48    6
 -3.73401-25 -3.7340E-25    2.678086025487D-06 5040  6   5    48    6
 -1.03824-24 -1.0382E-24    3.852673755597D-05 5040  6   5    52    6
 -3.95823-25 -3.9582E-25    7.579145224022D-06 5040  6   5    52    6
 -1.41607-24 -1.4161E-24   -2.118539337744D-05 5040  6   5    53    6
 -1.38159-22 -1.3816E-22   -7.238037333777D-06 5040  6   5    54    6
 -5.02939-24 -5.0294E-24   -1.988312697985D-06 5040  6   5    54    6
 -4.99987-26 -4.9999E-26   -6.000156003935D-06 5040  6   5    55    6
 -9.75584-25 -9.7558E-25    4.100108242869D-06 5040  6   5    55    6
 -2.42713-25 -2.4271E-25    1.236027736466D-05 5040  6   5    56    6
 -5.34661-25 -5.3466E-25    1.870344012465D-06 5040  6   5    57    6
 -8.88839-23 -8.8884E-23   -1.125063144166D-06 5040  6   5    58    6
 -5.36656-23 -5.3666E-23   -7.453564294425D-06 5040  6   5    58    6
 -1.51895-25 -1.5190E-25   -3.291747588789D-05 5040  6   5    59    6
 -1.07915-25 -1.0792E-25   -4.633276189585D-05 5040  6   5    59    6
 -1.16598-25 -1.1660E-25   -1.715295288069D-05 5040  6   5    60    6
 -4.52057-26 -4.5206E-26   -6.636331258977D-06 5040  6   5    60    6
 -9.58303-26 -9.5830E-26    3.130533870868D-06 5040  6   5    60    6
 -6.25224-27 -6.2522E-27    6.397707061866D-06 5040  6   5    61    6
 -1.29843-25 -1.2984E-25    2.310482659834D-05 5040  6   5    62    6
 -8.39482-26 -8.3948E-26    2.382421540991D-06 5040  6   5    62    6
 -1.88158-26 -1.8816E-26   -1.062936468281D-05 5040  6   5    63    6
 -5.57278-27 -5.5728E-27   -3.588873057950D-06 5040  6   5    64    6
 -6.29943-27 -6.2994E-27    4.762335639863D-06 5040  6   5    64    6
 -7.54494-27 -7.5449E-27    5.301566347746D-06 5040  6   5    65    6
 -2.92522-27 -2.9252E-27    6.837092594705D-06 5040  6   5    65    6
 -9.81957-27 -9.8196E-27   -3.055123594934D-06 5040  6   5    65    6
 -9.50542-27 -9.5054E-27    2.104062734722D-06 5040  6   5    65    6
 -7.74271-28 -7.7427E-28    1.291537459076D-06 5040  6   5    67    6
 -2.44255-29 -2.4426E-29   -2.047041002228D-05 5040  6   5    67    6
 -9.05932-29 -9.0593E-29    2.207671215963D-06 5040  6   5    68    6
 -2.85789-30 -2.8579E-30   -3.499084989138D-06 5040  6   5    68    6
 -5.00194-23 -5.0019E-23    7.996897203863D-06 5040  6   5    69    6
 -3.97256-23 -3.9726E-23   -1.006907384656D-05 5040  6   5    69    6
 -3.76615-24 -3.7662E-24   -1.327615734898D-05 5040  6   5    72    6
 -2.84816-25 -2.8482E-25   -1.404415482280D-05 5040  6   5    94    6
 -6.94624-26 -6.9462E-26    5.758511079424D-06 5040  6   5    98    6
 -2.85139-26 -2.8514E-26   -3.507061468397D-06 5040  6   5    98    6
 -1.28862-25 -1.2886E-25    1.552047927244D-05 5040  6   5    99    6
 -4.06512-27 -4.0651E-27    4.919903963446D-06 5040  6   5    99    6
 -4.24701-24 -4.2470E-24    2.354597705237D-06 5040  6   5    99    6
 -6.93658-24 -6.9366E-24   -2.883265240042D-06 5040  6   5    99    6
 -5.12414-26 -5.1241E-26    7.806187965266D-06 5040  6   5   100    6
 -1.30976-26 -1.3098E-26   -3.053994624973D-05 5040  6   5   100    6
 -4.05093-26 -4.0509E-26    7.405706837823D-06 5040  6   5   101    6
 -1.82729-26 -1.8273E-26   -5.472585085063D-06 5040  6   5   102    6
 -1.35882-26 -1.3588E-26    1.471865294901D-05 5040  6   5   103    6
 -1.95779-27 -1.9578E-27   -5.107800121536D-06 5040  6   5   105    6
 -8.46437-27 -8.4644E-27   -3.544268504225D-06 5040  6   5   105    6
 -5.75123-27 -5.7512E-27    5.216275474955D-06 5040  6   5   106    6
 -5.76382-27 -5.7638E-27    3.469920989879D-06 5040  6   5   107    6
 -1.81828-28 -1.8183E-28   -1.099940603194D-05 5040  6   5   107    6
 -1.23598-27 -1.2360E-27   -1.618149160980D-05 5040  6   5   108    6
 -6.50767-28 -6.5077E-28   -4.609944880316D-06 5040  6   5   108    6
 -9.47254-28 -9.4725E-28    4.222732234527D-06 5040  6   5   109    6
 -5.71925-28 -5.7193E-28   -8.742405035574D-06 5040  6   5   109    6
 -5.30392-28 -5.3039E-28    3.770795939517D-06 5040  6   5   109    6
 -2.28865-28 -2.2887E-28   -2.184694033588D-05 5040  6   5   110    6
 -1.34522-28 -1.3452E-28    1.486745662417D-05 5040  6   5   111    6
 -1.06838-28 -1.0684E-28   -1.871993111063D-05 5040  6   5   111    6
 -2.52767-29 -2.5277E-29   -1.186863791545D-05 5040  6   5   112    6
 -2.85725-29 -2.8573E-29   -1.749934377458D-05 5040  6   5   112    6
 -4.21028-30 -4.2103E-30   -4.750277891237D-06 5040  6   5   113    6
 -8.34554-30 -8.3455E-30    4.792979244151D-06 5040  6   5   113    6
 -6.34183-30 -6.3418E-30    4.730495771816D-06 5040  6   5   113    6
 -4.10023-30 -4.1002E-30    7.316662723768D-06 5040  6   5   114    6
 -2.60253-24 -2.6025E-24    1.152724464271D-05 5040  6   5   114    6
 -1.37028-24 -1.3703E-24   -1.459555711232D-05 5040  6   5   115    6
 -5.64843-24 -5.6484E-24    5.311210371665D-06 5040  6   5   118    6
 -1.60627-23 -1.6063E-23   -1.867681024996D-05 5040  6   5   118    6
 -5.06885-27 -5.0689E-27   -9.864170373893D-06 5040  6   5   164    6
 -1.06844-26 -1.0684E-26    3.743775972451D-05 5040  6   5   164    6
 -6.71414-27 -6.7141E-27    5.957576100553D-06 5040  6   5   169    6
 -4.34094-27 -4.3409E-27    9.214594074041D-06 5040  6   5   169    6
 -2.08248-27 -2.0825E-27   -9.603933771389D-06 5040  6   5   170    6
 -5.92207-27 -5.9221E-27   -5.065796250268D-06 5040  6   5   170    6
 -5.89327-25 -5.8933E-25   -5.090552443656D-06 5040  6   5   171    6
 -3.81022-25 -3.8102E-25    5.249040737820D-06 5040  6   5   171    6
 -3.06705-28 -3.0671E-28   -1.630231003738D-05 5040  6   5   172    6
 -7.70589-28 -7.7059E-28   -1.297708635714D-06 5040  6   5   172    6
 -1.19441-27 -1.1944E-27    8.372334458118D-06 5040  6   5   172    6
 -1.02776-27 -1.0278E-27   -3.891959212262D-05 5040  6   5   174    6
 -1.31432-28 -1.3143E-28    1.521699433926D-05 5040  6   5   174    6
 -1.16969-25 -1.1697E-25   -8.549273739219D-06 5040  6   5   176    6
 -2.31854-25 -2.3185E-25    1.725223632118D-05 5040  6   5   176    6
 -2.12286-29 -2.1229E-29   -1.884250492266D-05 5040  6   5   177    6
 -4.70772-29 -4.7077E-29    4.248341022753D-06 5040  6   5   178    6
 -7.14144-29 -7.1414E-29    5.601111260529D-06 5040  6   5   178    6
 -1.83334-28 -1.8333E-28    2.181810247972D-05 5040  6   5   178    6
 -1.06665-28 -1.0667E-28   -4.687573243325D-05 5040  6   5   179    6
 -3.26449-29 -3.2645E-29   -3.063265624982D-06 5040  6   5   179    6
 -1.16859-28 -1.1686E-28   -8.557321216155D-06 5040  6   5   179    6
 -5.17575-29 -5.1758E-29   -9.660435685636D-06 5040  6   5   180    6
 -1.09098-28 -1.0910E-28   -1.833214174389D-05 5040  6   5   180    6
 -4.55551-29 -4.5555E-29    2.195143902557D-06 5040  6   5   181    6
 -7.44044-29 -7.4404E-29    5.376026148893D-06 5040  6   5   181    6
 -3.32198-29 -3.3220E-29   -6.020505842791D-06 5040  6   5   182    6
 -2.56013-29 -2.5601E-29    1.171815493734D-05 5040  6   5   182    6
 -1.22703-29 -1.2270E-29    2.444927996872D-05 5040  6   5   183    6
 -5.03689-30 -5.0369E-30   -1.985352072401D-06 5040  6   5   183    6
 -9.73437-30 -9.7344E-30   -3.081863541161D-06 5040  6   5   184    6
 -2.76821-29 -2.7682E-29    3.612442697461D-06 5040  6   5   184    6
 -4.39635-30 -4.3964E-30   -1.137307084281D-05 5040  6   5   185    6
 -1.12373-30 -1.1237E-30    2.669680439256D-05 5040  6   5   185    6
 -7.19944-31 -7.1994E-31    5.555987687981D-06 5040  6   5   186    6
 -2.13643-31 -2.1364E-31    1.404211698958D-05 5040  6   5   186    6
 -7.47751-31 -7.4775E-31    1.337343580993D-06 5040  6   5   186    6
 -4.48708-31 -4.4871E-31   -4.457241680501D-06 5040  6   5   187    6
 -1.71067-31 -1.7107E-31   -1.753698843133D-05 5040  6   5   187    6
 -4.24678-32 -4.2468E-32   -4.709450454191D-06 5040  6   5   188    6
 -1.29973-32 -1.2997E-32    2.308171697202D-05 5040  6   5   188    6
 -4.65266-32 -4.6527E-32   -8.597232550778D-06 5040  6   5   188    6
 -1.77537-25 -1.7754E-25   -1.689788607450D-05 5040  6   5   189    6
 -6.88324-26 -6.8832E-26    5.811216810737D-06 5040  6   5   189    6
 -1.62743-25 -1.6274E-25    1.843397258259D-05 5040  6   5   189    6
 -8.39764-25 -8.3976E-25    4.763243006382D-06 5040  6   5   192    6
 -1.66456-24 -1.6646E-24   -2.403037439308D-05 5040  6   5   192    6
 -1.12701-28 -1.1270E-28    8.873035731902D-06 5040  6   5   259    6
 -4.10265-30 -4.1027E-30   -1.218724482951D-05 5040  6   5   259    6
 -2.36916-27 -2.3692E-27   -1.688362119898D-05 5040  6   5   260    6
 -4.69609-27 -4.6961E-27   -2.129431079886D-06 5040  6   5   260    6
 -3.80593-29 -3.8059E-29    7.882436093080D-06 5040  6   5   261    6
