  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  Number *    MAT MF  MT *    MAT MF  MT  
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999
       2 *      0 10   1 * 999999 10 999
       3 *      0 33   1 * 999999 33 999
       4 *      0 40   1 * 999999 40 999
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieved Data
 ************************************************************************
     ZA  MAT MF  MT  Lines  Unit Request Message
                                  Number
 ------------------------------------------------------------------------
  65159 6525  1 451    876    11       1
  65159 6525  3   1     35    11       1
  65159 6525  3   4     33    11       1
  65159 6525  3   5     35    11       1
  65159 6525  3  11     14    11       1
  65159 6525  3  16     28    11       1
  65159 6525  3  17     17    11       1
  65159 6525  3  22     32    11       1
  65159 6525  3  28     27    11       1
  65159 6525  3  32     20    11       1
  65159 6525  3  33     18    11       1
  65159 6525  3  34     17    11       1
  65159 6525  3  41     18    11       1
  65159 6525  3  42     13    11       1
  65159 6525  3  44     16    11       1
  65159 6525  3  50     33    11       1
  65159 6525  3  51     33    11       1
  65159 6525  3  52     33    11       1
  65159 6525  3  53     33    11       1
  65159 6525  3  54     33    11       1
  65159 6525  3  55     33    11       1
  65159 6525  3  56     33    11       1
  65159 6525  3  57     33    11       1
  65159 6525  3  58     33    11       1
  65159 6525  3  59     33    11       1
  65159 6525  3  60     33    11       1
  65159 6525  3  61     33    11       1
  65159 6525  3  62     33    11       1
  65159 6525  3  63     33    11       1
  65159 6525  3  64     33    11       1
  65159 6525  3  65     33    11       1
