

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Ti- 48                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -3.20342-24 -3.2034E-24    6.243327443754D-06 2231  6   5    38    6
 -2.37037-27 -2.3704E-27   -1.265625197762D-05 2231  6   5    40    6
 -3.61312-27 -3.6131E-27    5.535382162752D-06 2231  6   5    41    6
 -2.33602-27 -2.3360E-27    8.561570534449D-06 2231  6   5    41    6
 -8.41653-23 -8.4165E-23    3.564414313252D-06 2231  6   5    44    6
 -2.65511-24 -2.6551E-24    3.766322299309D-06 2231  6   5    44    6
 -1.05331-22 -1.0533E-22    9.493881193545D-06 2231  6   5    45    6
 -7.48331-23 -7.4833E-23    1.336307061978D-06 2231  6   5    45    6
 -7.96129-27 -7.9613E-27   -1.256077846583D-06 2231  6   5    45    6
 -1.57807-26 -1.5781E-26   -1.901056353645D-05 2231  6   5    45    6
 -4.38584-28 -4.3858E-28    9.120259744985D-06 2231  6   5    46    6
 -1.70042-28 -1.7004E-28    1.176180002586D-05 2231  6   5    46    6
 -3.99359-23 -3.9936E-23   -2.504012680313D-06 2231  6   5    47    6
 -1.30819-22 -1.3082E-22   -7.644149550121D-06 2231  6   5    47    6
 -9.29414-23 -9.2941E-23    4.303787117462D-06 2231  6   5    47    6
 -2.73041-28 -2.7304E-28    3.662453624258D-06 2231  6   5    49    6
 -6.97907-29 -6.9791E-29   -4.298567001009D-06 2231  6   5    49    6
 -4.35157-29 -4.3516E-29   -6.894063521969D-06 2231  6   5    49    6
 -1.42545-28 -1.4255E-28   -3.507664246374D-05 2231  6   5    50    6
 -1.01272-28 -1.0127E-28    1.974879532346D-05 2231  6   5    50    6
 -6.50515-29 -6.5052E-29   -7.686217842948D-06 2231  6   5    50    6
 -3.42509-29 -3.4251E-29   -2.919631308987D-06 2231  6   5    51    6
 -1.61594-29 -1.6159E-29    2.475339430909D-05 2231  6   5    51    6
 -3.20309-29 -3.2031E-29   -3.121985332944D-06 2231  6   5    51    6
 -4.77211-29 -4.7721E-29    2.095509114438D-06 2231  6   5    52    6
 -7.03621-29 -7.0362E-29    1.421219662224D-06 2231  6   5    52    6
 -2.54966-29 -2.5497E-29   -1.568836629191D-05 2231  6   5    53    6
 -9.72044-30 -9.7204E-30    4.115040059898D-06 2231  6   5    53    6
 -1.05125-30 -1.0513E-30   -4.756242568368D-05 2231  6   5    54    6
 -2.08377-30 -2.0838E-30   -1.439698239260D-05 2231  6   5    55    6
 -6.65422-31 -6.6542E-31    3.005611476588D-06 2231  6   5    55    6
 -7.52188-31 -7.5219E-31   -2.658909740616D-06 2231  6   5    56    6
 -4.37516-23 -4.3752E-23   -9.142522787713D-06 2231  6   5    56    6
 -2.30361-23 -2.3036E-23    4.341012584584D-06 2231  6   5    56    6
 -4.28579-32 -4.2858E-32   -2.333292111758D-06 2231  6   5    57    6
